pair_id,predicted_sigma,actual_abs_error
2011WM011__2014WM011,0.07782888703976425,0.028964395234551656
2014WM011__2011WM011,0.07861330253421633,0.03744256613375561
2012WM006__2017PA006,0.03405544969099266,0.004563875232445169
2017PA006__2012WM006,0.03413616998856978,0.0038705522281653137
2012WM012__2014WM002,0.025419223686379253,0.017941559577278197
2014WM002__2012WM012,0.0256340732400567,0.015359882355140431
2015WM014__2016WM019,0.03606952996431638,0.008070357372652362
2016WM019__2015WM014,0.0359497247696698,0.00789553829005783
2018PA006__2018PA014,0.034043989845960285,0.054552817655395096
2018PA014__2018PA006,0.03549099469671691,0.055757694786604
2019PA023__2019PA024,0.13785021455100363,0.1355354758864165
2019PA024__2019PA023,0.15556217560901947,0.14784710817784852
2019PA023__2020PA011,0.17395124715622381,0.16404124059345146
2020PA011__2019PA023,0.23997906434735464,0.17997019624534774
2020PA013__2023VR137,0.005807342129317142,0.0018267677603805328
2023VR137__2020PA013,0.005797887596489169,0.0018259747390347496
2021PA007__2023PA025,0.026692704564082282,0.036122265181059605
2023PA025__2021PA007,0.02669232718047408,0.037505614891954246
2021PA007__2023PA031,0.035566368892559666,0.051123625689039394
2023PA031__2021PA007,0.03535154366688961,0.053583860873799766
2021PA009__2023PA003,0.008993647077651308,0.01053172364059954
2021PA009__2023PA004,0.04955570586441243,0.0439623939155673
2023PA004__2021PA009,0.05008546537408263,0.042588006225736524
2021PA013__2022PA020,0.010522794258444247,0.014927445693952117
2022PA020__2021PA013,0.010505770344321399,0.01492377688383131
2022PA005__2023PA038,0.01589726604205909,0.02888014093149872
2023PA038__2022PA005,0.01647913455511475,0.03004372321642684
2022PA017__2023PA062,0.080788790264406,0.07981836802182686
2023PA062__2022PA017,0.08753160305842758,0.08738661050518806
2022PA028__2023PA009,0.011548546506957713,0.001900455882732864
2023PA009__2022PA028,0.011540860635710455,0.002067611332162055
2023PA001__2024PA020,0.044082133431665504,0.008170616424095273
2024PA020__2023PA001,0.04454740768801401,0.0071583049674859844
2023PA003__2023PA004,0.04292678256833239,0.03513092398041238
2023PA004__2023PA003,0.04267508813934805,0.03430532557425242
2023PA032__2024PA024,0.020346428637000095,0.04281852552381482
2024PA024__2023PA032,0.020158243323378927,0.04439925112413459
2023PA032__2024PA049,0.031234252533743387,0.0050670367982090445
2024PA049__2023PA032,0.031273406230442176,0.004992597121221201
2024KA001__2024KA002,0.044396480772642764,0.018480756228406996
2024KA002__2024KA001,0.04445018580619928,0.018304545635832267
2024PA013__2024PA094,0.06732350624550171,0.09996059240195514
2024PA094__2024PA013,0.06512327450196383,0.11706276520250132
2024PA028__2024PA070,0.015897458060211353,0.010426921354650618
2024PA070__2024PA028,0.015862982931062246,0.010569859940798518
