pair_id,predicted_sigma,actual_abs_error
2011WM011__2014WM011,0.07731049086241075,0.028964395234551656
2014WM011__2011WM011,0.07811859698245421,0.03744256613375561
2012WM006__2017PA006,0.03419507177600338,0.004563875232445169
2017PA006__2012WM006,0.03427655971788954,0.0038705522281653137
2012WM012__2014WM002,0.024888881947572265,0.017941559577278197
2014WM002__2012WM012,0.02510808643817477,0.015359882355140431
2015WM014__2016WM019,0.0354398725125197,0.008070357372652362
2016WM019__2015WM014,0.035316628272288736,0.00789553829005783
2018PA006__2018PA014,0.03298643537849013,0.054552817655395096
2018PA014__2018PA006,0.03444975546458358,0.055757694786604
2019PA023__2019PA024,0.13625721525852388,0.1355354758864165
2019PA024__2019PA023,0.15401884319591885,0.14784710817784852
2019PA023__2020PA011,0.17256564025193366,0.16404124059345146
2020PA011__2019PA023,0.23875674350462484,0.17997019624534774
2020PA013__2023VR137,0.005402499932911761,0.0018267677603805328
2023VR137__2020PA013,0.0053936602563580275,0.0018259747390347496
2021PA007__2023PA025,0.02596874956491166,0.036122265181059605
2023PA025__2021PA007,0.02596676364927034,0.037505614891954246
2021PA007__2023PA031,0.03482232218061832,0.051123625689039394
2023PA031__2021PA007,0.03460398716757115,0.053583860873799766
2021PA009__2023PA003,0.008301726734039238,0.01053172364059954
2021PA009__2023PA004,0.04742680903914806,0.0439623939155673
2023PA004__2021PA009,0.04800801211112339,0.042588006225736524
2021PA013__2022PA020,0.009723381873244185,0.014927445693952117
2022PA020__2021PA013,0.009707519624511064,0.01492377688383131
2022PA005__2023PA038,0.015349216463892026,0.02888014093149872
2023PA038__2022PA005,0.01594256735845875,0.03004372321642684
2022PA017__2023PA062,0.0821999649816702,0.07981836802182686
2023PA062__2022PA017,0.08943587313549041,0.08738661050518806
2022PA028__2023PA009,0.010911031685804984,0.001900455882732864
2023PA009__2022PA028,0.010903492493566572,0.002067611332162055
2023PA001__2024PA020,0.042183463958761706,0.008170616424095273
2024PA020__2023PA001,0.042638956536116525,0.0071583049674859844
2023PA003__2023PA004,0.04102086975231892,0.03513092398041238
2023PA004__2023PA003,0.04077131473898679,0.03430532557425242
2023PA032__2024PA024,0.019905647542021444,0.04281852552381482
2024PA024__2023PA032,0.019714106147329134,0.04439925112413459
2023PA032__2024PA049,0.029956122573719397,0.0050670367982090445
2024PA049__2023PA032,0.02999217858690992,0.004992597121221201
2024KA001__2024KA002,0.04290655258018721,0.018480756228406996
2024KA002__2024KA001,0.042960559862551255,0.018304545635832267
2024PA013__2024PA094,0.0656212643139847,0.09996059240195514
2024PA094__2024PA013,0.06345280805593301,0.11706276520250132
2024PA028__2024PA070,0.014969793416368999,0.010426921354650618
2024PA070__2024PA028,0.014936013074540469,0.010569859940798518
