pair_id,predicted_sigma,actual_abs_error
2011WM011__2014WM011,0.06663937674339372,0.028964395234551656
2014WM011__2011WM011,0.06466621123031367,0.03744256613375561
2012WM006__2017PA006,0.02289940941983405,0.004563875232445169
2017PA006__2012WM006,0.02279341098243448,0.0038705522281653137
2012WM012__2014WM002,0.026764584805606333,0.017941559577278197
2014WM002__2012WM012,0.027013614606322914,0.015359882355140431
2015WM014__2016WM019,0.03505919404747646,0.008070357372652362
2016WM019__2015WM014,0.03492188827421949,0.00789553829005783
2018PA006__2018PA014,0.03704217599786421,0.054552817655395096
2018PA014__2018PA006,0.03883928036443723,0.055757694786604
2019PA023__2019PA024,0.13612398467084438,0.1355354758864165
2019PA024__2019PA023,0.15431653360835892,0.14784710817784852
2019PA023__2020PA011,0.18662999174122102,0.16404124059345146
2020PA011__2019PA023,0.26052832253123476,0.17997019624534774
2020PA013__2023VR137,0.005597627189906499,0.0018267677603805328
2023VR137__2020PA013,0.005597558001318515,0.0018259747390347496
2021PA007__2023PA025,0.02842875277861245,0.036122265181059605
2023PA025__2021PA007,0.02844182022962047,0.037505614891954246
2021PA007__2023PA031,0.03478195202688361,0.051123625689039394
2023PA031__2021PA007,0.03453417829654379,0.053583860873799766
2021PA009__2023PA003,0.0039164462879081015,0.01053172364059954
2021PA009__2023PA004,0.042884581136950574,0.0439623939155673
2023PA004__2021PA009,0.040217669505109056,0.042588006225736524
2021PA013__2022PA020,0.011250467428483587,0.014927445693952117
2022PA020__2021PA013,0.011233996101190915,0.01492377688383131
2022PA005__2023PA038,0.017650189775679902,0.02888014093149872
2023PA038__2022PA005,0.018369546363335165,0.03004372321642684
2022PA017__2023PA062,0.05875023145288374,0.07981836802182686
2023PA062__2022PA017,0.0679227800086248,0.08738661050518806
2022PA028__2023PA009,0.01175036574628496,0.001900455882732864
2023PA009__2022PA028,0.011740383921258759,0.002067611332162055
2023PA001__2024PA020,0.04114736798655421,0.008170616424095273
2024PA020__2023PA001,0.04143812590374063,0.0071583049674859844
2023PA003__2023PA004,0.03869305798033553,0.03513092398041238
2023PA004__2023PA003,0.03878328722408789,0.03430532557425242
2023PA032__2024PA024,0.019123067121620315,0.04281852552381482
2024PA024__2023PA032,0.01917668048008427,0.04439925112413459
2023PA032__2024PA049,0.031108883171098965,0.0050670367982090445
2024PA049__2023PA032,0.031137445289748527,0.004992597121221201
2024KA001__2024KA002,0.03952295856403276,0.018480756228406996
2024KA002__2024KA001,0.039582550642536816,0.018304545635832267
2024PA013__2024PA094,0.06803545664362001,0.09996059240195514
2024PA094__2024PA013,0.0658550605310458,0.11706276520250132
2024PA028__2024PA070,0.014893933851753487,0.010426921354650618
2024PA070__2024PA028,0.014895974892076114,0.010569859940798518
