pair_id,predicted_sigma,actual_abs_error
2012WM012__2014WM002,0.04450440417503747,0.017941559577278197
2014WM002__2012WM012,0.04563136979422842,0.015359882355140431
2015WM014__2016WM019,0.041455998966597685,0.008070357372652362
2016WM019__2015WM014,0.041601726982952426,0.00789553829005783
2018PA006__2018PA014,0.03904294990438825,0.054552817655395096
2018PA014__2018PA006,0.03864399880464471,0.055757694786604
2019PA023__2019PA024,0.21845840071983794,0.1355354758864165
2019PA024__2019PA023,0.22516736364364726,0.14784710817784852
2019PA023__2020PA011,0.21856394623724237,0.16404124059345146
2020PA011__2019PA023,0.280634013544525,0.17997019624534774
2020PA013__2023VR137,0.006688469304397517,0.0018267677603805328
2023VR137__2020PA013,0.006688397977537517,0.0018259747390347496
2021PA007__2023PA025,0.03161479071746351,0.036122265181059605
2023PA025__2021PA007,0.03138824903523179,0.037505614891954246
2021PA007__2023PA031,0.04326240955976884,0.051123625689039394
2023PA031__2021PA007,0.043590868560461876,0.053583860873799766
2021PA009__2023PA003,0.005058042483748298,0.01053172364059954
2021PA009__2023PA004,0.04293941317869969,0.0439623939155673
2023PA004__2021PA009,0.04048138200788474,0.042588006225736524
2021PA013__2022PA020,0.01221916409078239,0.014927445693952117
2022PA020__2021PA013,0.012203517031001514,0.01492377688383131
2022PA005__2023PA038,0.02508169857738529,0.02888014093149872
2023PA038__2022PA005,0.025411847684504833,0.03004372321642684
2022PA017__2023PA062,0.05289367271877027,0.07981836802182686
2023PA062__2022PA017,0.060707796481041486,0.08738661050518806
2022PA028__2023PA009,0.01282876379688866,0.001900455882732864
2023PA009__2022PA028,0.012849052232465135,0.002067611332162055
2023PA001__2024PA020,0.0423166711921264,0.008170616424095273
2024PA020__2023PA001,0.04263385516690159,0.0071583049674859844
2023PA003__2023PA004,0.03891861758081114,0.03513092398041238
2023PA004__2023PA003,0.039002742735375844,0.03430532557425242
2023PA032__2024PA024,0.019114283886352425,0.04281852552381482
2024PA024__2023PA032,0.019164545184413947,0.04439925112413459
2023PA032__2024PA049,0.04636391659060112,0.0050670367982090445
2024PA049__2023PA032,0.04644768835274741,0.004992597121221201
2024KA001__2024KA002,0.03909373600505882,0.018480756228406996
2024KA002__2024KA001,0.03915121710212611,0.018304545635832267
2024PA013__2024PA094,0.061765668072401574,0.09996059240195514
2024PA094__2024PA013,0.06001900949568855,0.11706276520250132
2024PA028__2024PA070,0.016412734216617382,0.010426921354650618
2024PA070__2024PA028,0.016413810049449827,0.010569859940798518
