pair_id,predicted_sigma,actual_abs_error
2012WM012__2014WM002,0.027009104123539573,0.017941559577278197
2014WM002__2012WM012,0.027346877351030346,0.015359882355140431
2015WM014__2016WM019,0.03626914263958588,0.008070357372652362
2016WM019__2015WM014,0.036052294454685885,0.00789553829005783
2018PA006__2018PA014,0.041180302070577025,0.054552817655395096
2018PA014__2018PA006,0.04442528147414206,0.055757694786604
2019PA023__2019PA024,0.13344107955600054,0.1355354758864165
2019PA024__2019PA023,0.1491790918180568,0.14784710817784852
2019PA023__2020PA011,0.17535140168356594,0.16404124059345146
2020PA011__2019PA023,0.24538123906527828,0.17997019624534774
2020PA013__2023VR137,0.005043211700967139,0.0018267677603805328
2023VR137__2020PA013,0.005028210826810668,0.0018259747390347496
2021PA007__2023PA025,0.030183574939936123,0.036122265181059605
2023PA025__2021PA007,0.030213721937703657,0.037505614891954246
2021PA007__2023PA031,0.03298207598220814,0.051123625689039394
2023PA031__2021PA007,0.032678410216582215,0.053583860873799766
2021PA009__2023PA003,0.012872528908188326,0.01053172364059954
2021PA009__2023PA004,0.05805739088168312,0.0439623939155673
2023PA004__2021PA009,0.06001603178648861,0.042588006225736524
2021PA013__2022PA020,0.006034147287463376,0.014927445693952117
2022PA020__2021PA013,0.006023829968277562,0.01492377688383131
2022PA005__2023PA038,0.017097643500629513,0.02888014093149872
2023PA038__2022PA005,0.018266487140265287,0.03004372321642684
2022PA017__2023PA062,0.09161343270114725,0.07981836802182686
2023PA062__2022PA017,0.10457605690554773,0.08738661050518806
2022PA028__2023PA009,0.009529924071401257,0.001900455882732864
2023PA009__2022PA028,0.009518254447317688,0.002067611332162055
2023PA001__2024PA020,0.03143156290500184,0.008170616424095273
2024PA020__2023PA001,0.032021756360746695,0.0071583049674859844
2023PA003__2023PA004,0.049784204610848766,0.03513092398041238
2023PA004__2023PA003,0.04920873395620532,0.03430532557425242
2023PA032__2024PA024,0.022827343008353485,0.04281852552381482
2024PA024__2023PA032,0.02242206337522384,0.04439925112413459
2023PA032__2024PA049,0.028742678723640183,0.0050670367982090445
2024PA049__2023PA032,0.02875012797924781,0.004992597121221201
2024KA001__2024KA002,0.029182537727318478,0.018480756228406996
2024KA002__2024KA001,0.02919402212544308,0.018304545635832267
2024PA013__2024PA094,0.06914264525862135,0.09996059240195514
2024PA094__2024PA013,0.06656022388337476,0.11706276520250132
2024PA028__2024PA070,0.017208386129225272,0.010426921354650618
2024PA070__2024PA028,0.017135575930137287,0.010569859940798518
