pair_id,predicted_sigma,actual_abs_error
2012WM012__2014WM002,0.028652393888951792,0.017941559577278197
2014WM002__2012WM012,0.028991645410432622,0.015359882355140431
2015WM014__2016WM019,0.035317240368520984,0.008070357372652362
2016WM019__2015WM014,0.035116609155917244,0.00789553829005783
2018PA006__2018PA014,0.0442345052787562,0.054552817655395096
2018PA014__2018PA006,0.04751036427580757,0.055757694786604
2019PA023__2019PA024,0.14269943015304115,0.1355354758864165
2019PA024__2019PA023,0.15838344634082632,0.14784710817784852
2019PA023__2020PA011,0.18773737616402353,0.16404124059345146
2020PA011__2019PA023,0.2583569311393877,0.17997019624534774
2020PA013__2023VR137,0.005417966990685585,0.0018267677603805328
2023VR137__2020PA013,0.005417699998889382,0.0018259747390347496
2021PA007__2023PA025,0.03260564364220634,0.036122265181059605
2023PA025__2021PA007,0.0326316425872976,0.037505614891954246
2021PA007__2023PA031,0.032786083781014816,0.051123625689039394
2023PA031__2021PA007,0.03249977711139862,0.053583860873799766
2021PA009__2023PA003,0.005374386320613432,0.01053172364059954
2021PA009__2023PA004,0.06150149829867453,0.0439623939155673
2023PA004__2021PA009,0.06334820531996764,0.042588006225736524
2021PA013__2022PA020,0.0084195129082531,0.014927445693952117
2022PA020__2021PA013,0.008405091063678023,0.01492377688383131
2022PA005__2023PA038,0.020218000561299816,0.02888014093149872
2023PA038__2022PA005,0.021513279406841054,0.03004372321642684
2022PA017__2023PA062,0.07420119888097287,0.07981836802182686
2023PA062__2022PA017,0.08390780308279908,0.08738661050518806
2022PA028__2023PA009,0.011325090637447851,0.001900455882732864
2023PA009__2022PA028,0.011311778383691034,0.002067611332162055
2023PA001__2024PA020,0.034491339974474094,0.008170616424095273
2024PA020__2023PA001,0.035113305095517085,0.0071583049674859844
2023PA003__2023PA004,0.05409117261417889,0.03513092398041238
2023PA004__2023PA003,0.05351152664436224,0.03430532557425242
2023PA032__2024PA024,0.024100961325703715,0.04281852552381482
2024PA024__2023PA032,0.023690189799656952,0.04439925112413459
2023PA032__2024PA049,0.030026923103591754,0.0050670367982090445
2024PA049__2023PA032,0.030035100245398016,0.004992597121221201
2024KA001__2024KA002,0.02762742069616348,0.018480756228406996
2024KA002__2024KA001,0.0276349874843468,0.018304545635832267
2024PA013__2024PA094,0.07201437454410091,0.09996059240195514
2024PA094__2024PA013,0.06939435557126637,0.11706276520250132
2024PA028__2024PA070,0.021233240457869205,0.010426921354650618
2024PA070__2024PA028,0.021146972254381315,0.010569859940798518
