pair_id,pred_M,actual_abs_error,pred_A,group,abs_e,diff_M_minus_A,err_A,err_M,closer
2023PA062__2022PA017,0.069413785945028,0.087386610505188,0.1032064158522519,KEPT,0.087386610505188,-0.0337926299072239,0.015819805347063898,0.01797282456016,A
2022PA017__2023PA062,0.0591242822690854,0.0798183680218268,0.0907162697897626,KEPT,0.0798183680218268,-0.031591987520677205,0.0108979017679358,0.020694085752741405,A
2023PA004__2021PA009,0.0421252994808946,0.0425880062257365,0.0626094473060484,KEPT,0.0425880062257365,-0.020484147825153794,0.020021441080311897,0.0004627067448418967,M
2020PA011__2019PA023,0.2662838994084499,0.1799701962453477,0.2482622339059395,KEPT,0.1799701962453477,0.018021665502510387,0.06829203766059178,0.08631370316310216,A
2021PA009__2023PA004,0.0451546568494977,0.0439623939155673,0.0606281565590916,KEPT,0.0439623939155673,-0.0154734997095939,0.016665762643524304,0.0011922629339304047,M
2023PA003__2023PA004,0.0403977194896411,0.0351309239804123,0.0528581656969986,KEPT,0.0351309239804123,-0.012460446207357506,0.017727241716586302,0.005266795509228796,M
2019PA023__2020PA011,0.1903655853525723,0.1640412405934514,0.1783794126245804,KEPT,0.1640412405934514,0.011986172727991906,0.014338172031128998,0.026324344759120905,A
2023PA004__2023PA003,0.040495102121086,0.0343053255742524,0.0522573666053819,KEPT,0.0343053255742524,-0.011762264484295896,0.017952041031129497,0.0061897765468336,M
2021PA009__2023PA003,0.0042137350219909,0.0105317236405995,0.0137763717182642,KEPT,0.0105317236405995,-0.0095626366962733,0.0032446480776647003,0.0063179886186086,A
2024KA002__2024KA001,0.0375077492759205,0.0183045456358322,0.0300141610556805,KEPT,0.0183045456358322,0.007493588220240002,0.011709615419848298,0.0192032036400883,A
2024KA001__2024KA002,0.0374498889112399,0.0184807562284069,0.0299999168554641,KEPT,0.0184807562284069,0.007449972055775796,0.011519160627057202,0.018969132682832998,A
2023PA001__2024PA020,0.039719749010695,0.0081706164240952,0.0324035595466807,KEPT,0.0081706164240952,0.0073161894640143,0.024232943122585497,0.0315491325865998,A
2024PA020__2023PA001,0.0400192485068501,0.0071583049674859,0.032949276797586,KEPT,0.0071583049674859,0.0070699717092641,0.025790971830100096,0.032860943539364196,A
2019PA024__2019PA023,0.1587054802976928,0.1478471081778485,0.1540577602270909,KEPT,0.1478471081778485,0.004647720070601907,0.006210652049242399,0.010858372119844306,A
2021PA013__2022PA020,0.0109996074527082,0.0149274456939521,0.0066786238927302,KEPT,0.0149274456939521,0.004320983559978,0.0082488218012219,0.003927838241243899,M
2022PA020__2021PA013,0.0109837523126451,0.0149237768838313,0.0066673923262185,KEPT,0.0149237768838313,0.0043163599864266,0.008256384557612798,0.003940024571186199,M
2023PA032__2024PA024,0.0197250627876838,0.0428185255238148,0.0236793454944853,KEPT,0.0428185255238148,-0.003954282706801499,0.0191391800293295,0.023093462736131,A
2024PA024__2023PA032,0.0197817654312285,0.0443992511241345,0.0232631939748505,KEPT,0.0443992511241345,-0.003481428543622,0.021136057149284,0.024617485692906,A
2018PA014__2018PA006,0.0416825179756029,0.055757694786604,0.0449294634624178,KEPT,0.055757694786604,-0.003246945486814902,0.0108282313241862,0.014075176811001101,A
2024PA049__2023PA032,0.0320305899366548,0.0049925971212212,0.0294056021187491,KEPT,0.0049925971212212,0.0026249878179057003,0.0244130049975279,0.0270379928154336,A
2019PA023__2019PA024,0.1404695924760053,0.1355354758864165,0.1378589075170178,KEPT,0.1355354758864165,0.0026106849589875025,0.0023234316306012803,0.004934116589588783,A
2023PA032__2024PA049,0.0320065496571269,0.005067036798209,0.0293967785928102,KEPT,0.005067036798209,0.002609771064316698,0.0243297417946012,0.026939512858917897,A
2018PA006__2018PA014,0.0395123276704575,0.054552817655395,0.0417953935153451,KEPT,0.054552817655395,-0.002283065844887598,0.012757424140049899,0.015040489984937497,A
2024PA028__2024PA070,0.0158894031377749,0.0104269213546506,0.0180823777344572,KEPT,0.0104269213546506,-0.002192974596682301,0.007655456379806601,0.0054624817831243,M
2024PA070__2024PA028,0.0158906900709763,0.0105698599407985,0.0180090178058323,KEPT,0.0105698599407985,-0.0021183277348559987,0.007439157865033798,0.0053208301301777994,M
2023PA009__2022PA028,0.0119309762727873,0.002067611332162,0.0100777180854157,KEPT,0.002067611332162,0.0018532581873716009,0.0080101067532537,0.009863364940625301,A
2023PA031__2021PA007,0.035557697633149,0.0535838608737997,0.0337229652578182,KEPT,0.0535838608737997,0.0018347323753307998,0.019860895615981505,0.018026163240650706,M
2022PA028__2023PA009,0.0119090030432631,0.0019004558827328,0.0100899903345239,KEPT,0.0019004558827328,0.0018190127087391993,0.0081895344517911,0.010008547160530299,A
2021PA007__2023PA031,0.0358250242417052,0.0511236256890393,0.0340252809037541,KEPT,0.0511236256890393,0.001799743337951104,0.0170983447852852,0.015298601447334095,M
2024PA013__2024PA094,0.0694457589040762,0.0999605924019551,0.0705185403145245,KEPT,0.0999605924019551,-0.0010727814104482952,0.0294420520874306,0.030514833497878896,A
2022PA005__2023PA038,0.0188589436640303,0.0288801409314987,0.017974263506437,KEPT,0.0288801409314987,0.0008846801575932983,0.010905877425061699,0.0100211972674684,M
2023PA025__2021PA007,0.0302138529466969,0.0375056148919542,0.0309820274785131,KEPT,0.0375056148919542,-0.0007681745318161987,0.006523587413441098,0.007291761945257297,A
2021PA007__2023PA025,0.0301914505670078,0.0361222651810596,0.0309522760717838,KEPT,0.0361222651810596,-0.0007608255047759985,0.0051699891092758,0.0059308146140517985,A
2024PA094__2024PA013,0.067225997781781,0.1170627652025013,0.0679663534535408,KEPT,0.1170627652025013,-0.0007403556717597987,0.04909641174896051,0.04983676742072031,A
2023PA038__2022PA005,0.0197327306732463,0.0300437232164268,0.0191408597697784,KEPT,0.0300437232164268,0.000591870903467899,0.010902863446648401,0.010310992543180502,M
2015WM014__2016WM019,0.0363894038741161,0.0080703573726523,0.036863828208486,KEPT,0.0080703573726523,-0.0004744243343699009,0.028793470835833702,0.0283190465014638,M
2016WM019__2015WM014,0.0362340274042849,0.0078955382900578,0.036651079364264,KEPT,0.0078955382900578,-0.00041705195997909783,0.0287555410742062,0.0283384891142271,M
2012WM012__2014WM002,0.0284133246281277,0.0179415595772781,0.0280022435498825,KEPT,0.0179415595772781,0.00041108107824519916,0.0100606839726044,0.0104717650508496,A
2014WM002__2012WM012,0.0286998877816553,0.0153598823551404,0.0283375850433792,KEPT,0.0153598823551404,0.00036230273827609835,0.012977702688238802,0.0133400054265149,A
