pair_id,predicted_sigma,actual_abs_error
2012WM012__2014WM002,0.028002243549882542,0.017941559577278197
2014WM002__2012WM012,0.028337585043379205,0.015359882355140431
2015WM014__2016WM019,0.03686382820848603,0.008070357372652362
2016WM019__2015WM014,0.03665107936426403,0.00789553829005783
2018PA006__2018PA014,0.04179539351534519,0.054552817655395096
2018PA014__2018PA006,0.04492946346241789,0.055757694786604
2019PA023__2019PA024,0.13785890751701782,0.1355354758864165
2019PA024__2019PA023,0.15405776022709095,0.14784710817784852
2019PA023__2020PA011,0.17837941262458046,0.16404124059345146
2020PA011__2019PA023,0.2482622339059395,0.17997019624534774
2020PA013__2023VR137,0.0058112112817059166,0.0018267677603805328
2023VR137__2020PA013,0.00579486059340841,0.0018259747390347496
2021PA007__2023PA025,0.03095227607178386,0.036122265181059605
2023PA025__2021PA007,0.030982027478513172,0.037505614891954246
2021PA007__2023PA031,0.03402528090375417,0.051123625689039394
2023PA031__2021PA007,0.033722965257818246,0.053583860873799766
2021PA009__2023PA003,0.013776371718264298,0.01053172364059954
2021PA009__2023PA004,0.060628156559091664,0.0439623939155673
2023PA004__2021PA009,0.06260944730604845,0.042588006225736524
2021PA013__2022PA020,0.006678623892730234,0.014927445693952117
2022PA020__2021PA013,0.006667392326218599,0.01492377688383131
2022PA005__2023PA038,0.01797426350643704,0.02888014093149872
2023PA038__2022PA005,0.019140859769778473,0.03004372321642684
2022PA017__2023PA062,0.09071626978976262,0.07981836802182686
2023PA062__2022PA017,0.10320641585225192,0.08738661050518806
2022PA028__2023PA009,0.010089990334523917,0.001900455882732864
2023PA009__2022PA028,0.010077718085415785,0.002067611332162055
2023PA001__2024PA020,0.03240355954668078,0.008170616424095273
2024PA020__2023PA001,0.03294927679758609,0.0071583049674859844
2023PA003__2023PA004,0.05285816569699861,0.03513092398041238
2023PA004__2023PA003,0.052257366605381925,0.03430532557425242
2023PA032__2024PA024,0.023679345494485388,0.04281852552381482
2024PA024__2023PA032,0.023263193974850525,0.04439925112413459
2023PA032__2024PA049,0.029396778592810254,0.0050670367982090445
2024PA049__2023PA032,0.029405602118749142,0.004992597121221201
2024KA001__2024KA002,0.029999916855464128,0.018480756228406996
2024KA002__2024KA001,0.030014161055680586,0.018304545635832267
2024PA013__2024PA094,0.07051854031452452,0.09996059240195514
2024PA094__2024PA013,0.0679663534535408,0.11706276520250132
2024PA028__2024PA070,0.018082377734457283,0.010426921354650618
2024PA070__2024PA028,0.018009017805832337,0.010569859940798518
