pair_id,predicted_sigma,actual_abs_error
2011WM011__2014WM011,0.053106995289902294,0.028964395234551656
2014WM011__2011WM011,0.05190355081699346,0.03744256613375561
2012WM006__2017PA006,0.020475775007196884,0.004563875232445169
2017PA006__2012WM006,0.020409018411023834,0.0038705522281653137
2012WM012__2014WM002,0.03774079181098671,0.017941559577278197
2014WM002__2012WM012,0.03852699680262268,0.015359882355140431
2015WM014__2016WM019,0.03947586695377182,0.008070357372652362
2016WM019__2015WM014,0.039590773662451936,0.00789553829005783
2018PA006__2018PA014,0.035262095415239454,0.054552817655395096
2018PA014__2018PA006,0.03499542429712426,0.055757694786604
2019PA023__2019PA024,0.19904264632407684,0.1355354758864165
2019PA024__2019PA023,0.21031968062371661,0.14784710817784852
2019PA023__2020PA011,0.20642019238183903,0.16404124059345146
2020PA011__2019PA023,0.2690897517850147,0.17997019624534774
2020PA013__2023VR137,0.005938132159338468,0.0018267677603805328
2023VR137__2020PA013,0.005938066537834281,0.0018259747390347496
2021PA007__2023PA025,0.028278485828736134,0.036122265181059605
2023PA025__2021PA007,0.028114379239880884,0.037505614891954246
2021PA007__2023PA031,0.04161506516000821,0.051123625689039394
2023PA031__2021PA007,0.04186464338078774,0.053583860873799766
2021PA009__2023PA003,0.00458440407008884,0.01053172364059954
2021PA009__2023PA004,0.041317199388694874,0.0439623939155673
2023PA004__2021PA009,0.039217511646370676,0.042588006225736524
2021PA013__2022PA020,0.01301130225694497,0.014927445693952117
2022PA020__2021PA013,0.01299489359616554,0.01492377688383131
2022PA005__2023PA038,0.0212806165079436,0.02888014093149872
2023PA038__2022PA005,0.02145990012384948,0.03004372321642684
2022PA017__2023PA062,0.05638211718475195,0.07981836802182686
2023PA062__2022PA017,0.06341965141912596,0.08738661050518806
2022PA028__2023PA009,0.012457519405857894,0.001900455882732864
2023PA009__2022PA028,0.012472896295689838,0.002067611332162055
2023PA001__2024PA020,0.044613260391117945,0.008170616424095273
2024PA020__2023PA001,0.044774277575321535,0.0071583049674859844
2023PA003__2023PA004,0.037114129878000016,0.03513092398041238
2023PA004__2023PA003,0.03719002904386501,0.03430532557425242
2023PA032__2024PA024,0.017679079142708304,0.04281852552381482
2024PA024__2023PA032,0.017724510888990106,0.04439925112413459
2023PA032__2024PA049,0.04305986303497576,0.0050670367982090445
2024PA049__2023PA032,0.043142122695829725,0.004992597121221201
2024KA001__2024KA002,0.04417276236114103,0.018480756228406996
2024KA002__2024KA001,0.04424506950834715,0.018304545635832267
2024PA013__2024PA094,0.06021716207827656,0.09996059240195514
2024PA094__2024PA013,0.058572850471207416,0.11706276520250132
2024PA028__2024PA070,0.015224586060133662,0.010426921354650618
2024PA070__2024PA028,0.015226817884249415,0.010569859940798518
