pair_id,predicted_sigma,actual_abs_error
2012WM012__2014WM002,0.031052872442182144,0.017941559577278197
2014WM002__2012WM012,0.0314470879352459,0.015359882355140431
2015WM014__2016WM019,0.03804204862360639,0.008070357372652362
2016WM019__2015WM014,0.037812158396778206,0.00789553829005783
2018PA006__2018PA014,0.04529011709428165,0.054552817655395096
2018PA014__2018PA006,0.044632062551194056,0.055757694786604
2019PA023__2019PA024,0.14304151221201084,0.1355354758864165
2019PA024__2019PA023,0.16075273974589094,0.14784710817784852
2019PA023__2020PA011,0.20566857526648377,0.16404124059345146
2020PA011__2019PA023,0.2929172666003517,0.17997019624534774
2020PA013__2023VR137,0.005987733588435604,0.0018267677603805328
2023VR137__2020PA013,0.005987657281931886,0.0018259747390347496
2021PA007__2023PA025,0.034773200699359054,0.036122265181059605
2023PA025__2021PA007,0.03483085069256314,0.037505614891954246
2021PA007__2023PA031,0.035766679567454454,0.051123625689039394
2023PA031__2021PA007,0.03542688893294049,0.053583860873799766
2021PA009__2023PA003,0.0044122130320573116,0.01053172364059954
2021PA009__2023PA004,0.0443715840422258,0.0439623939155673
2023PA004__2021PA009,0.041303841628065475,0.042588006225736524
2021PA013__2022PA020,0.008621203845199743,0.014927445693952117
2022PA020__2021PA013,0.008609741057396035,0.01492377688383131
2022PA005__2023PA038,0.021307234493864426,0.02888014093149872
2023PA038__2022PA005,0.022801691405007384,0.03004372321642684
2022PA017__2023PA062,0.05471966164578088,0.07981836802182686
2023PA062__2022PA017,0.06507015656339461,0.08738661050518806
2022PA028__2023PA009,0.011298224192531535,0.001900455882732864
2023PA009__2022PA028,0.011283189758638644,0.002067611332162055
2023PA001__2024PA020,0.03294509802996656,0.008170616424095273
2024PA020__2023PA001,0.03322820615133897,0.0071583049674859844
2023PA003__2023PA004,0.04048132069703848,0.03513092398041238
2023PA004__2023PA003,0.04057832962326417,0.03430532557425242
2023PA032__2024PA024,0.020484623354946704,0.04281852552381482
2024PA024__2023PA032,0.020543900068382807,0.04439925112413459
2023PA032__2024PA049,0.03151249031006593,0.0050670367982090445
2024PA049__2023PA032,0.03151184229760147,0.004992597121221201
2024KA001__2024KA002,0.02845465886926564,0.018480756228406996
2024KA002__2024KA001,0.028480805777412764,0.018304545635832267
2024PA013__2024PA094,0.06825777077357621,0.09996059240195514
2024PA094__2024PA013,0.06605554739789182,0.11706276520250132
2024PA028__2024PA070,0.016483092902878367,0.010426921354650618
2024PA070__2024PA028,0.016484448875434852,0.010569859940798518
