pair_id,location,rough_share_abs,which_min_wins,actual_error,adapt_predicted_sigma,expB_predicted_sigma,adapt_err_pp,expB_err_pp,diff_pp,contrib_gamma_roughness,z_A,z_B,x_rough,abs_total_contrib
2011WM011__2014WM011,Hultema,0.6826070128848062,z_B,0.0289643952345516,0.0674273384616904,0.0531069952899022,3.8462943227138795,2.4142600055350596,1.4320343171788201,0.5513713013161532,2.266719408616049,1.5898835052311673,1.5898835052311673,0.807743388082068
2014WM011__2011WM011,Hultema,0.6747997245101409,z_B,0.0374425661337556,0.065400432142093,0.0519035508169934,2.7957866008337398,1.4460984683237803,1.3496881325099594,0.5268950773408178,2.297601690294325,1.5193061199449929,1.5193061199449929,0.7808169716182205
2021PA013__2022PA020,Taaibos,0.5459502279494003,z_A,0.0149274456939521,0.011338357915482,0.0130113022569449,-0.35890877784701003,-0.19161434370072,-0.16729443414629006,-0.5873069795648181,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,1.0757518716875614
2022PA020__2021PA013,Taaibos,0.5452311416619922,z_A,0.0149237768838313,0.0113219879876359,0.0129948935961655,-0.3601788896195399,-0.19288832876658002,-0.16729056085295987,-0.5873069795648181,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,1.0771706432148556
2023PA001__2024PA020,Ukhanda,0.5166441022327016,z_A,0.0081706164240952,0.0395059890935504,0.0446132603911179,3.13353726694552,3.6442643967022694,-0.5107271297567495,-0.5873069795648181,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,1.136772832645807
2018PA014__2018PA006,Clermont en Argonne,0.5073412253759015,z_A,0.055757694786604,0.0382123285259473,0.0349954242971242,-1.7545366260656698,-2.07622704894798,0.3216904228823106,0.239842504024895,0.6915877560045018,0.7040260197882929,0.6915877560045018,0.4727439680211081
2024PA020__2023PA001,Ukhanda,0.504165227393202,z_A,0.0071583049674859,0.0397305212666298,0.0447742775753215,3.25722162991439,3.7615972607835597,-0.50437563086917,-0.5873069795648181,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,1.1649097312829417
2018PA006__2018PA014,Clermont en Argonne,0.44457537896123106,z_A,0.054552817655395,0.0364250661717511,0.0352620954152394,-1.81277514836439,-1.92907222401556,0.11629707565116998,0.1872700034141446,0.5399945349749206,0.742857091222271,0.5399945349749206,0.421233411197239
2024KA002__2024KA001,Kabbo,0.4227746436632242,z_A,0.0183045456358322,0.0386307681502772,0.0442450695083471,2.0326222514445003,2.5940523872514896,-0.5614301358069895,-0.5873069795648181,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,1.3891726676793272
2024KA001__2024KA002,Kabbo,0.42229431952636187,z_A,0.0184807562284069,0.0385812120157263,0.044172762361141,2.01004557873194,2.5692006132734106,-0.5591550345414704,-0.5873069795648181,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,1.3907527343098804
