pair_id,location,actual_abs_e,log_sigma0,contrib_gamma_dist,contrib_gamma_turning,contrib_gamma_speedup,contrib_gamma_dz,z_A,z_B,x_rough,contrib_gamma_roughness,which_min_wins,log_sigma_total,sigma_predicted
2011WM011__2014WM011,Hultema,0.028964395234551656,-3.3602220088032717,-0.13002880649840276,0.02680319157396443,0.042576107723782314,0.05696398096976544,2.266719408616049,1.5898835052311673,1.5898835052311673,0.5513713013161532,z_B,-2.812536233718009,0.06005249193082818
2012WM006__2017PA006,Malarberget,0.004563875232445169,-3.3602220088032717,-0.30649075434266676,-0.06777828097203248,-0.13234382601389202,-0.17623033894334053,1.9181008682416694,0.5432576655047543,0.5432576655047543,0.18840165646965407,z_B,-3.8546635526055497,0.021180728312308342
2012WM012__2014WM002,Mikolajki Pomorskie,0.017941559577278197,-3.3602220088032717,0.09972785239425433,-0.19564359432846062,-0.11182604680329246,-0.08019384298553234,0.03853961551213085,1.2488417531513456,0.03853961551213085,0.0133655314287056,z_A,-3.634792109097597,0.02638941993753111
2014WM002__2012WM012,Mikolajki Pomorskie,0.015359882355140431,-3.3602220088032717,0.09972785239425433,-0.19527084388761695,-0.10936463148373937,-0.08019384298553234,0.0578024645162551,1.3088069263861715,0.0578024645162551,0.02004588384919082,z_A,-3.625277590916715,0.02664170081564723
2014WM011__2011WM011,Hultema,0.03744256613375561,-3.3602220088032717,-0.13002880649840276,0.028388739493176832,0.038540367316057846,0.05696398096976544,2.297601690294325,1.5193061199449929,1.5193061199449929,0.5268950773408178,z_B,-2.8394626501818565,0.058457069422047224
2015WM014__2016WM019,Courcelles-sous,0.008070357372652362,-3.3602220088032717,0.3362157657041694,-0.14658371661457983,-0.14414847512954934,-0.04493583801948242,-0.135578072489767,0.3896992366741125,-0.135578072489767,-0.04701845010194596,z_A,-3.4066927229646597,0.03315065768215682
2016WM019__2015WM014,Courcelles-sous,0.00789553829005783,-3.3602220088032717,0.3362157657041694,-0.14670082172085086,-0.1438137946713728,-0.04493583801948242,-0.14750077856115437,0.39973625595779383,-0.14750077856115437,-0.05115324233053445,z_A,-3.410609939841343,0.03302105337622538
2017PA006__2012WM006,Malarberget,0.0038705522281653137,-3.3602220088032717,-0.30649075434266676,-0.06899143929235187,-0.13080045009207025,-0.17623033894334053,1.9246456157549905,0.5302892165572902,0.5302892165572902,0.18390420080784714,z_B,-3.8588307906658534,0.021092646830858902
2018PA006__2018PA014,Clermont en Argonne,0.054552817655395096,-3.3602220088032717,0.017885592247446506,-0.030048948884029727,-0.1198785498306579,0.06615031682096033,0.5399945349749206,0.742857091222271,0.5399945349749206,0.18727000341414463,z_A,-3.2388435950354078,0.039209210618208076
2018PA014__2018PA006,Clermont en Argonne,0.055757694786604,-3.3602220088032717,0.017885592247446506,-0.0314119316536886,-0.11745362327411776,0.06615031682096033,0.6915877560045018,0.7040260197882929,0.6915877560045018,0.239842504024895,z_A,-3.1852091506377764,0.041369592419432714
2019PA023__2019PA024,Herzhausen,0.1355354758864165,-3.3602220088032717,-0.048854934334534444,0.7305498615169114,0.41090487097841566,0.23803812236892785,-0.011708708935129377,1.383004502843894,-0.011708708935129377,-0.0040605780618849065,z_A,-2.0336446663354364,0.13085771824091377
2019PA023__2020PA011,Herzhausen,0.16404124059345146,-3.3602220088032717,-0.13625925730256644,0.6777100893178069,0.665753552969849,0.22721054513862848,0.3092196631412826,1.0837012476075616,0.3092196631412826,0.10723732116081156,z_A,-1.8185697575187423,0.1622576528443746
2019PA024__2019PA023,Herzhausen,0.14784710817784852,-3.3602220088032717,-0.048854934334534444,0.7394568754179799,0.5151157364680118,0.23803812236892785,0.02163353558749213,1.1582715321598511,0.02163353558749213,0.007502506082802911,z_A,-1.9089637028000839,0.14823392142557085
2020PA011__2019PA023,Herzhausen,0.17997019624534774,-3.3602220088032717,-0.13625925730256644,0.741762118732221,0.8383230353881107,0.22721054513862848,0.5013422148632616,1.0681321221473188,0.5013422148632616,0.17386538605146862,z_A,-1.5153201807954093,0.21973781775399684
2020PA013__2023VR137,Janneby,0.0018267677603805328,-3.3602220088032717,-0.7806803360614716,-0.27496216022880854,-0.18056006005564815,-0.23257919580517852,-1.005358260131545,-1.6379558964456973,-1.6379558964456973,-0.568042797569887,z_B,-5.3970465585242655,0.004529940118157859
2021PA007__2023PA025,Pyrzyce III,0.036122265181059605,-3.3602220088032717,0.05884720156680034,-0.06966520655260201,-0.13902666609919132,-0.09702184024343467,0.23698638441000244,0.5176639779784229,0.23698638441000244,0.08218683364939638,z_A,-3.5249016864823033,0.02945470302223086
2021PA007__2023PA031,Pyrzyce III,0.051123625689039394,-3.3602220088032717,0.2788639603067754,-0.04832976158602457,-0.11531494898866732,0.08423785473461023,-0.41297230735631596,0.21130060330976866,-0.41297230735631596,-0.14321871870824826,z_A,-3.3039836230448265,0.03673653103154242
2021PA009__2023PA003,Sundern,0.01053172364059954,-3.3602220088032717,-0.7541640024695628,-0.10653479425250346,-0.1428569768879553,-0.23009385638655985,0.7280646499201013,-1.5333122325696105,-1.5333122325696105,-0.5317523945711724,z_B,-5.125624033371026,0.005942507875950477
2021PA009__2023PA004,Sundern,0.0439623939155673,-3.3602220088032717,-0.15088301000972584,-0.12554092224665817,0.2924608772719086,0.17169189116093517,0.7819553970969599,0.11176325606160412,0.11176325606160412,0.03875947623285593,z_B,-3.1337336963939557,0.043554872615632415
2021PA013__2022PA020,Taaibos,0.014927445693952117,-3.3602220088032717,0.01661110058069164,-0.18546673397151037,-0.14918447473508104,-0.13718258283546036,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,-0.5873069795648181,z_A,-4.402751679329451,0.01224360303844027
2022PA005__2023PA038,Trzcinsko Zdroj,0.02888014093149872,-3.3602220088032717,-0.12449571139648272,-0.17897795623638413,-0.1296093891840963,-0.14945317065306968,-0.0304975287548099,0.7704176359105224,-0.0304975287548099,-0.010576537250143611,z_A,-3.953334773523448,0.01919059864981348
2022PA017__2023PA062,Doringbaai,0.07981836802182686,-3.3602220088032717,0.58687863882374,-0.008298607930206897,0.004061073995506682,0.1087355713476271,0.283448104841253,-0.29254302788074954,-0.29254302788074954,-0.10145386718137173,z_B,-2.7702991997479764,0.06264325909061355
2022PA020__2021PA013,Taaibos,0.01492377688383131,-3.3602220088032717,0.01661110058069164,-0.18683163197610655,-0.1492383482577791,-0.13718258283546036,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,-0.5873069795648181,z_A,-4.4041704508567445,0.012226244479883934
2022PA028__2023PA009,Zawidz,0.001900455882732864,-3.3602220088032717,-0.13551110289236082,-0.20907150103590003,-0.16512462720541837,-0.2202758388356989,-1.26316525913585,-1.2524011688790864,-1.26316525913585,-0.43806547487001135,z_A,-4.5282705536426615,0.010799336805423653
2023PA001__2024PA020,Ukhanda,0.008170616424095273,-3.3602220088032717,0.05482527689930174,0.32230610242232294,0.024077082580783896,0.14825739117858078,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,-0.5873069795648181,z_A,-3.3980631352871002,0.03343797210869311
2023PA003__2023PA004,Sundern,0.03513092398041238,-3.3602220088032717,-0.17727732261271212,-0.23045010050965714,0.2669836374594589,0.17262760979039074,0.7876092140410229,0.14814525019793037,0.14814525019793037,0.05137674497325095,z_B,-3.2769614397025406,0.0377427664184482
2023PA004__2021PA009,Sundern,0.042588006225736524,-3.3602220088032717,-0.15088301000972584,-0.12818807999885515,0.2801508267141212,0.17169189116093517,0.8701359497425452,-0.03340665585766851,-0.03340665585766851,-0.0115854219835971,z_B,-3.1990358029203936,0.0408015257303133
2023PA004__2023PA003,Sundern,0.03430532557425242,-3.3602220088032717,-0.17727732261271212,-0.22908890734655388,0.2672009125368442,0.17262760979039074,0.7624687454139978,0.15049402464413927,0.15049402464413927,0.052191299510513114,z_B,-3.2745684169247897,0.03783319387250836
2023PA009__2022PA028,Zawidz,0.002067611332162055,-3.3602220088032717,-0.13551110289236082,-0.20882617691209204,-0.16533614933888863,-0.2202758388356989,-1.2660353667643112,-1.247208864038447,-1.2660353667643112,-0.4390608276570647,z_A,-4.5292321044393775,0.010788957685339681
2023PA025__2021PA007,Pyrzyce III,0.037505614891954246,-3.3602220088032717,0.05884720156680034,-0.07235733499649127,-0.13802679268839926,-0.09702184024343467,0.2435062072383243,0.49981348160173467,0.2435062072383243,0.08444790698299254,z_A,-3.524332868181804,0.029471462162346602
2023PA031__2021PA007,Pyrzyce III,0.053583860873799766,-3.3602220088032717,0.2788639603067754,-0.04728633646636604,-0.11740111626442887,0.08423785473461023,-0.429632370440181,0.2388957295899242,-0.429632370440181,-0.14899642545992894,z_A,-3.31080407195261,0.036486823923877185
2023PA032__2024PA024,Pelczyce,0.04281852552381482,-3.3602220088032717,0.19697718104101908,-0.17324827728627681,-0.13135898255527775,-0.2012191834815622,0.06768904352486338,-0.22893372163868908,-0.22893372163868908,-0.07939417171116613,z_B,-3.748465442796535,0.023553862887059226
2023PA032__2024PA049,Pelczyce,0.0050670367982090445,-3.3602220088032717,0.12935929658990852,-0.12813839945361735,-0.07894142284773956,0.08604375556581388,-0.4846235278266094,0.6712164501690063,-0.4846235278266094,-0.16806734852396052,z_A,-3.519966127472866,0.02960043779254349
2023PA038__2022PA005,Trzcinsko Zdroj,0.03004372321642684,-3.3602220088032717,-0.12449571139648272,-0.18553187664044743,-0.129321583862341,-0.14945317065306968,0.11898826768268406,0.8301461868747536,0.11898826768268406,0.04126510890747127,z_A,-3.9077592424481415,0.020085457315002653
2023PA062__2022PA017,Doringbaai,0.08738661050518806,-3.3602220088032717,0.58687863882374,0.001081493218474579,0.008748280962173645,0.1087355713476271,0.5088666524793696,0.09488657606995553,0.09488657606995553,0.03290664677819813,z_B,-2.621871377673058,0.07266674857571476
2023VR137__2020PA013,Janneby,0.0018259747390347496,-3.3602220088032717,-0.7806803360614716,-0.27498215952988553,-0.18055324318354385,-0.23257919580517852,-1.011489287838564,-1.6379558964456973,-1.6379558964456973,-0.568042797569887,z_B,-5.397059740953239,0.004529880402937595
2024KA001__2024KA002,Kabbo,0.018480756228406996,-3.3602220088032717,0.4940506527447782,-0.0380556689968006,-0.10546268172313558,0.16587675128034815,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,-0.5873069795648181,z_A,-3.4311199350628994,0.03235068980550914
2024KA002__2024KA001,Kabbo,0.018304545635832267,-3.3602220088032717,0.4940506527447782,-0.040475274595267556,-0.10146300949411556,0.16587675128034815,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,-0.5873069795648181,z_A,-3.4295398684323466,0.032401846455761
2024PA013__2024PA094,Balverwald,0.09996059240195514,-3.3602220088032717,-0.04984505599380084,0.41352515463358697,0.16482737995439842,0.22379299977611436,0.07498891188994898,0.025618350619066737,0.025618350619066737,0.008884439188111782,z_B,-2.599037091244861,0.07434513133710752
2024PA020__2023PA001,Ukhanda,0.0071583049674859844,-3.3602220088032717,0.05482527689930174,0.35864587843577794,-0.01587420520446332,0.14825739117858078,-1.6935043174868396,-1.6379558964456973,-1.6935043174868396,-0.5873069795648181,z_A,-3.4016746470588926,0.03331742828254252
2024PA024__2023PA032,Pelczyce,0.04439925112413459,-3.3602220088032717,0.19697718104101908,-0.17037348948491507,-0.13143201363912926,-0.2012191834815622,0.02224825331165704,-0.22874509733235124,-0.22874509733235124,-0.07932875683711833,z_B,-3.7455982712049773,0.023621492760496125
2024PA028__2024PA070,Bielice,0.010426921354650618,-3.3602220088032717,-0.2549288055658232,-0.23402706022958905,-0.1104632171760757,-0.10806935136217612,0.0791291467471647,-0.4296309125103756,-0.4296309125103756,-0.14899591985014599,z_B,-4.216706362987081,0.014747136317861089
2024PA049__2023PA032,Pelczyce,0.004992597121221201,-3.3602220088032717,0.12935929658990852,-0.1266750665608163,-0.07804699236082097,0.08604375556581388,-0.48881376170270746,0.6706885350761775,-0.48881376170270746,-0.1695205208460089,z_A,-3.5190615364151956,0.029627226198323205
2024PA061__2024PA107,Slovenska East,0.04645569164736748,-3.3602220088032717,0.4020945793464467,0.1927832358941116,-0.10628003543304149,-0.18741867877448634,0.29474529035348673,0.04254860077989474,0.04254860077989474,0.014755846767390031,z_B,-3.044287061002851,0.04763025735351647
2024PA070__2024PA028,Bielice,0.010569859940798518,-3.3602220088032717,-0.2549288055658232,-0.23305407091663435,-0.11083149018189024,-0.10806935136217612,0.06946421249790564,-0.43094384416573533,-0.43094384416573533,-0.14945124430188914,z_B,-4.216556971131684,0.014749339584488347
2024PA094__2024PA013,Balverwald,0.11706276520250132,-3.3602220088032717,-0.04984505599380084,0.3885566618734364,0.1619148926220973,0.22379299977611436,0.05748069270656718,0.004163994013678662,0.004163994013678662,0.0014440723426845375,z_B,-2.6343584381827396,0.07176499632391359
2024PA107__2024PA061,Slovenska East,0.05047798224366847,-3.3602220088032717,0.4020945793464467,0.1752977307648098,-0.10030081027569883,-0.18741867877448634,0.29343864345324794,0.12319684836489814,0.12319684836489814,0.04272464389843842,z_B,-3.027824543843762,0.0484208610909468
