pair_id,predicted_sigma,predicted_mu,actual_error,e_overall_signed,location,abs_dz,distance_m,effective_sigma,additive_sigma
2024PA013__2024PA094,0.05424335467697576,-0.04935067983865602,0.09996059240195514,-0.09996059240195514,Balverwald,99.20000000000005,1286.024883118519,0.07333369707814899,0.10359403451563179
2024PA094__2024PA013,0.052457032338337276,0.04935067983865602,0.11706276520250132,0.11706276520250132,Balverwald,99.20000000000005,1286.024883118519,0.07202242596776988,0.1018077121769933
2024PA028__2024PA070,0.016973181385179534,0.00717283158455954,0.010426921354650618,-0.010426921354650618,Bielice,11.7,3394.473449594208,0.018426567756222534,0.024146012969739075
2024PA070__2024PA028,0.0169324958004783,-0.00717283158455954,0.010569859940798518,0.010569859940798518,Bielice,11.7,3394.473449594208,0.01838909804676864,0.02410532738503784
2018PA006__2018PA014,0.03454562241389203,-0.019253273154896083,0.054552817655395096,-0.054552817655395096,Clermont en Argonne,36.79999999999998,4248.672380873818,0.039548559457207054,0.05379889556878811
2018PA014__2018PA006,0.036609355798625405,0.019253273154896083,0.055757694786604,0.055757694786604,Clermont en Argonne,36.79999999999998,4248.672380873818,0.04136343142399322,0.05586262895352149
2015WM014__2016WM019,0.03089999866217123,0.011216004864732038,0.008070357372652362,0.008070357372652362,Courcelles-sous,19.09999999999999,9328.376600459482,0.032872612954370946,0.04211600352690327
2016WM019__2015WM014,0.03077313047887909,-0.011216004864732038,0.00789553829005783,-0.00789553829005783,Courcelles-sous,19.09999999999999,9328.376600459482,0.03275338645996487,0.04198913534361112
2022PA017__2023PA062,0.05702549445540065,-0.024809483775660033,0.07981836802182686,-0.07981836802182686,Doringbaai,46.40000000000001,16697.94316674961,0.062188564086153884,0.08183497823106069
2023PA062__2022PA017,0.06275258951654863,0.024809483775660033,0.08738661050518806,0.08738661050518806,Doringbaai,46.40000000000001,16697.94316674961,0.06747887059107605,0.08756207329220866
2019PA023__2019PA024,0.098172717903848,-0.05388756958288476,0.1355354758864165,-0.1355354758864165,Herzhausen,115.8,1658.946955149561,0.11198996694427034,0.15206028748673275
2019PA023__2020PA011,0.11217249707228,-0.04774494507084609,0.16404124059345146,-0.16404124059345146,Herzhausen,102.6,1534.345463055827,0.12191082347047277,0.1599174421431261
2019PA024__2019PA023,0.10667939913151613,0.05388756958288476,0.14784710817784852,0.14784710817784852,Herzhausen,115.8,1658.946955149561,0.11951721363306446,0.16056696871440088
2020PA011__2019PA023,0.14437487800244558,0.04774494507084609,0.17997019624534774,0.17997019624534774,Herzhausen,102.6,1534.345463055827,0.15206474008802684,0.19211982307329167
2024KA001__2024KA002,0.0275245236731396,0.045362370158010444,0.018480756228406996,0.018480756228406996,Kabbo,64.5,12174.74903232095,0.053059815583787875,0.07288689383115005
2024KA002__2024KA001,0.027523147568002285,-0.045362370158010444,0.018304545635832267,-0.018304545635832267,Kabbo,64.5,12174.74903232095,0.05305910174892133,0.07288551772601273
2012WM012__2014WM002,0.024953391233748193,-0.008458827405383179,0.017941559577278197,-0.017941559577278197,Mikolajki Pomorskie,14.80000000000001,6258.869706264862,0.026348121282902936,0.03341221863913137
2014WM002__2012WM012,0.025168715868228168,0.008458827405383179,0.015359882355140431,0.015359882355140431,Mikolajki Pomorskie,14.80000000000001,6258.869706264862,0.026552137758185535,0.033627543273611345
2023PA032__2024PA024,0.02133484390684071,-0.001862606603013932,0.04281852552381482,-0.04281852552381482,Pelczyce,2.800000000000011,8273.984892420338,0.021415995608116127,0.023197450509854643
2023PA032__2024PA049,0.023258373168687483,0.027273882401275328,0.0050670367982090445,-0.0050670367982090445,Pelczyce,41.0,6928.792679825252,0.03584433823761457,0.05053225556996281
2024PA024__2023PA032,0.021122584912710518,0.0018626066030139326,0.04439925112413459,0.04439925112413459,Pelczyce,2.800000000000011,8273.984892420338,0.021204548963660065,0.02298519151572445
2024PA049__2023PA032,0.023273090631322702,-0.027273882401275328,0.004992597121221201,0.004992597121221201,Pelczyce,41.0,6928.792679825252,0.03585388973001893,0.05054697303259803
2021PA007__2023PA025,0.02541949894403595,0.007180127131095074,0.036122265181059605,-0.036122265181059605,Pyrzyce III,12.89999999999999,6297.543171745629,0.02641410896063943,0.03259962607513102
2021PA007__2023PA031,0.028356391806867238,-0.022597919497865143,0.051123625689039394,-0.051123625689039394,Pyrzyce III,40.60000000000001,9277.011210513869,0.0362594942316707,0.05095431130473238
2023PA025__2021PA007,0.02542488343944405,-0.007180127131095074,0.037505614891954246,0.037505614891954246,Pyrzyce III,12.89999999999999,6297.543171745629,0.02641929074611966,0.03260501057053912
2023PA031__2021PA007,0.028193815823177353,0.022597919497865143,0.053583860873799766,0.053583860873799766,Pyrzyce III,40.60000000000001,9277.011210513869,0.03613249529583086,0.050791735321042496
2021PA009__2023PA004,0.05753510820675569,0.03376353973039943,0.0439623939155673,0.0439623939155673,Sundern,66.89999999999998,1349.667366427743,0.06671030873477761,0.09129864793715511
2023PA003__2023PA004,0.05185299975478574,0.0339654144074123,0.03513092398041238,0.03513092398041238,Sundern,67.30000000000001,1400.396015418496,0.06198695797857046,0.08581841416219804
2023PA004__2021PA009,0.05938537012390497,-0.03376353973039943,0.042588006225736524,-0.042588006225736524,Sundern,66.89999999999998,1349.667366427743,0.06831250837057183,0.09314890985430441
2023PA004__2023PA003,0.05127650811773599,-0.0339654144074123,0.03430532557425242,-0.03430532557425242,Sundern,67.30000000000001,1400.396015418496,0.0615055254478449,0.08524192252514828
2021PA013__2022PA020,0.009399123340188852,-0.004367980580234378,0.014927445693952117,-0.014927445693952117,Taaibos,8.700000000000045,5710.248068166566,0.010364495834983363,0.01376710392042323
2022PA020__2021PA013,0.009385831262676864,0.004367980580234381,0.01492377688383131,0.01492377688383131,Taaibos,8.700000000000045,5710.248068166566,0.010352443327096606,0.013753811842911245
2022PA005__2023PA038,0.01677184163903763,0.004578719555715815,0.02888014093149872,-0.02888014093149872,Trzcinsko Zdroj,7.5,4594.77017923639,0.01738560740195323,0.021350561194753447
2023PA038__2022PA005,0.01744306176147844,-0.004578719555715815,0.03004372321642684,0.03004372321642684,Trzcinsko Zdroj,7.5,4594.77017923639,0.01803399779263172,0.022021781317194254
2023PA001__2024PA020,0.024870445659165966,-0.040964268817900544,0.008170616424095273,-0.008170616424095273,Ukhanda,58.0,4490.817520229474,0.04792296304560838,0.06583471447706651
