scale,pearson,spearman,bias,n_pairs
10,0.9227790170663208,0.7538023853813327,-0.009971756202628274,38
20,0.925235469919864,0.7608053397527081,-0.009916940222047062,38
40,0.9264434601292988,0.7461429040376409,-0.009842315563597843,38
60,0.9291238650123755,0.7564284932705985,-0.009493154396359239,38
80,0.930255833134387,0.7557719662982819,-0.009644595614751245,38
120,0.9290542005897976,0.7500820658715396,-0.009418586564612993,38
