pair_id,predicted_sigma,predicted_mu,actual_error,e_overall_signed,location,abs_dz,distance_m,effective_sigma,additive_sigma
2012WM012__2014WM002,0.0248778340727296,-0.00852599183519415,0.017941559577278197,-0.017941559577278197,Mikolajki Pomorskie,14.80000000000001,6258.869706264862,0.02629827304071625,0.03340382590792375
2014WM002__2012WM012,0.02508843238211758,0.00852599183519415,0.015359882355140431,0.015359882355140431,Mikolajki Pomorskie,14.80000000000001,6258.869706264862,0.02649758434585846,0.03361442421731173
2015WM014__2016WM019,0.03076109340855019,0.011202684029863765,0.008070357372652362,0.008070357372652362,Courcelles-sous,19.09999999999999,9328.376600459482,0.03273751666150801,0.04196377743841395
2016WM019__2015WM014,0.030637918360804886,-0.011202684029863765,0.00789553829005783,-0.00789553829005783,Courcelles-sous,19.09999999999999,9328.376600459482,0.03262180514558184,0.041840602390668655
2018PA006__2018PA014,0.03347770725663034,-0.019289428219667355,0.054552817655395096,-0.054552817655395096,Clermont en Argonne,36.79999999999998,4248.672380873818,0.038637273767727694,0.05276713547629769
2018PA014__2018PA006,0.035410699597689464,0.019289428219667355,0.055757694786604,0.055757694786604,Clermont en Argonne,36.79999999999998,4248.672380873818,0.04032368642670836,0.05470012781735682
2019PA023__2019PA024,0.09530174359670793,-0.05852132142606526,0.1355354758864165,-0.1355354758864165,Herzhausen,115.8,1658.946955149561,0.11183544784202147,0.15382306502277318
2019PA024__2019PA023,0.10281912580100808,0.05852132142606526,0.14784710817784852,0.14784710817784852,Herzhausen,115.8,1658.946955149561,0.1183068793094314,0.16134044722707333
2019PA023__2020PA011,0.09329380005170755,-0.054102943836467375,0.16404124059345146,-0.16404124059345146,Herzhausen,102.6,1534.345463055827,0.10784647263522314,0.14739674388817492
2020PA011__2019PA023,0.11667295484578974,0.054102943836467375,0.17997019624534774,0.17997019624534774,Herzhausen,102.6,1534.345463055827,0.12860679190548077,0.17077589868225712
2021PA007__2023PA025,0.024945369411817124,0.008027461087591649,0.036122265181059605,-0.036122265181059605,Pyrzyce III,12.89999999999999,6297.543171745629,0.026205182437922837,0.03297283049940877
2023PA025__2021PA007,0.02494895601143137,-0.008027461087591652,0.037505614891954246,0.037505614891954246,Pyrzyce III,12.89999999999999,6297.543171745629,0.026208596634942814,0.03297641709902302
2021PA007__2023PA031,0.02867092427663523,-0.02026370185196568,0.051123625689039394,-0.051123625689039394,Pyrzyce III,40.60000000000001,9277.011210513869,0.035108966256811217,0.04893462612860091
2023PA031__2021PA007,0.028478903323122345,0.02026370185196568,0.053583860873799766,0.053583860873799766,Pyrzyce III,40.60000000000001,9277.011210513869,0.03495233250060869,0.04874260517508802
2021PA009__2023PA004,0.04717250155652943,0.034734161450215906,0.0439623939155673,0.0439623939155673,Sundern,66.89999999999998,1349.667366427743,0.05858077222733101,0.08190666300674534
2023PA004__2021PA009,0.04852971345584418,-0.034734161450215906,0.042588006225736524,-0.042588006225736524,Sundern,66.89999999999998,1349.667366427743,0.059679100694933464,0.08326387490606008
2021PA013__2022PA020,0.009380558892791775,-0.004259380592130141,0.014927445693952117,-0.014927445693952117,Taaibos,8.700000000000045,5710.248068166566,0.010302291403845544,0.013639939484921915
2022PA020__2021PA013,0.009367933612699232,0.004259380592130144,0.01492377688383131,0.01492377688383131,Taaibos,8.700000000000045,5710.248068166566,0.010290797014835878,0.013627314204829375
2022PA005__2023PA038,0.016770034170896713,0.004455578295473321,0.02888014093149872,-0.02888014093149872,Trzcinsko Zdroj,7.5,4594.77017923639,0.017351836330490682,0.021225612466370034
2023PA038__2022PA005,0.017471812998367486,-0.004455578295473321,0.03004372321642684,0.03004372321642684,Trzcinsko Zdroj,7.5,4594.77017923639,0.018030985203172232,0.021927391293840807
2022PA017__2023PA062,0.055624899750194724,-0.024627687953393596,0.07981836802182686,-0.07981836802182686,Doringbaai,46.40000000000001,16697.94316674961,0.06083298846965305,0.08025258770358831
2023PA062__2022PA017,0.06118197078951245,0.024627687953393596,0.08738661050518806,0.08738661050518806,Doringbaai,46.40000000000001,16697.94316674961,0.06595268427909878,0.08580965874290605
2022PA028__2023PA009,0.013314726666313411,0.0007323372285488759,0.001900455882732864,0.001900455882732864,Zawidz,1.200000000000003,4625.316854011193,0.013334851480798581,0.014047063894862287
2023PA009__2022PA028,0.013305433226570969,-0.0007323372285488759,0.002067611332162055,-0.002067611332162055,Zawidz,1.200000000000003,4625.316854011193,0.013325572076389718,0.014037770455119844
2023PA001__2024PA020,0.024816194683761242,-0.040778861544881334,0.008170616424095273,-0.008170616424095273,Ukhanda,58.0,4490.817520229474,0.04773634954077387,0.06559505622864258
2024PA020__2023PA001,0.02503340702092877,0.040778861544881334,0.0071583049674859844,0.0071583049674859844,Ukhanda,58.0,4490.817520229474,0.047849629214572684,0.0658122685658101
2023PA003__2023PA004,0.04048422989070846,0.03769681119774485,0.03513092398041238,0.03513092398041238,Sundern,67.30000000000001,1400.396015418496,0.05531746961243034,0.0781810410884533
2023PA004__2023PA003,0.04012721077073787,-0.03769681119774485,0.03430532557425242,-0.03430532557425242,Sundern,67.30000000000001,1400.396015418496,0.05505672183046901,0.07782402196848273
2023PA032__2024PA024,0.022584880970287102,-0.001572300751044958,0.04281852552381482,-0.04281852552381482,Pelczyce,2.800000000000011,8273.984892420338,0.022639544564627908,0.02415718172133206
2024PA024__2023PA032,0.022309900168407556,0.001572300751044956,0.04439925112413459,0.04439925112413459,Pelczyce,2.800000000000011,8273.984892420338,0.022365235862294143,0.023882200919452513
2023PA032__2024PA049,0.02415616760243955,0.027296803687896498,0.0050670367982090445,-0.0050670367982090445,Pelczyce,41.0,6928.792679825252,0.03645045849934826,0.05145297129033605
2024PA049__2023PA032,0.02416697513289966,-0.027296803687896498,0.004992597121221201,0.004992597121221201,Pelczyce,41.0,6928.792679825252,0.036457621681203374,0.051463778820796155
2024KA001__2024KA002,0.028014905730889324,0.04395922486586117,0.018480756228406996,0.018480756228406996,Kabbo,64.5,12174.74903232095,0.052127232747556845,0.0719741305967505
2024KA002__2024KA001,0.02801445812706182,-0.04395922486586117,0.018304545635832267,-0.018304545635832267,Kabbo,64.5,12174.74903232095,0.05212699219176421,0.07197368299292299
2024PA013__2024PA094,0.055766497897602046,-0.04843188805816592,0.09996059240195514,-0.09996059240195514,Balverwald,99.20000000000005,1286.024883118519,0.07386169554405023,0.10419838595576797
2024PA094__2024PA013,0.05396728473134224,0.04843188805816592,0.11706276520250132,0.11706276520250132,Balverwald,99.20000000000005,1286.024883118519,0.07251286508029095,0.10239917278950816
2024PA028__2024PA070,0.016920891577802126,0.00709517564319251,0.010426921354650618,-0.010426921354650618,Bielice,11.7,3394.473449594208,0.018348244853268313,0.024016067220994634
2024PA070__2024PA028,0.016879451186115137,-0.00709517564319251,0.010569859940798518,0.010569859940798518,Bielice,11.7,3394.473449594208,0.018310035219851323,0.02397462682930765
