pair_id,group,A_magnitude,B_mismatch,min_AB,which_wins,cancellation_idx,opp_sign_sectors,opp_sign_weight,abs_e_overall
2019PA023__2019PA024,KEPT,0.0043270387296126854,0.010381006189938077,0.0043270387296126854,A,0.5831773288212926,6,0.6112138878611214,0.1355354758864165
2024PA049__2023PA032,KEPT,0.0028982140178597936,0.006803929960700398,0.0028982140178597936,A,0.5740382345791445,6,0.5452545474545255,0.004992597121221201
2023PA032__2024PA049,KEPT,0.002909914400855963,0.006806158938410619,0.002909914400855963,A,0.572458647059528,6,0.5477645223547765,0.0050670367982090445
2014WM002__2012WM012,KEPT,0.004553357533575328,0.009942795427954272,0.004553357533575328,A,0.5420445319860935,3,0.3187231872318723,0.015359882355140431
2012WM012__2014WM002,KEPT,0.004490125598744004,0.009602156978430207,0.004490125598744004,A,0.5323836499621499,3,0.30276697233027666,0.017941559577278197
2019PA024__2019PA023,KEPT,0.004434957499999985,0.009108704999999988,0.004434957499999985,A,0.5131077908440342,6,0.5385,0.14784710817784852
2022PA005__2023PA038,KEPT,0.004266734165316686,0.007234082318353666,0.004266734165316686,A,0.41018998989111444,6,0.3983620327593448,0.02888014093149872
2023PA031__2021PA007,KEPT,0.0030647484999999893,0.005129377000000018,0.0030647484999999893,A,0.40251057779531935,5,0.36787000000000003,0.053583860873799766
2021PA007__2023PA031,KEPT,0.0031121339999999843,0.005031322000000012,0.0031121339999999843,A,0.38144805679303034,5,0.3373300000000001,0.051123625689039394
2019PA023__2020PA011,KEPT,0.005417559999999993,0.008719942000000043,0.005417559999999993,A,0.3787160510930042,6,0.43368,0.16404124059345146
2023PA038__2022PA005,KEPT,0.004756898931010687,0.007500851991480112,0.004756898931010687,A,0.3658188514566293,6,0.4682053179468205,0.03004372321642684
2016WM019__2015WM014,KEPT,0.0038991695000000033,0.005720863000000003,0.0038991695000000033,A,0.3184298417913519,0,0.0,0.00789553829005783
2015WM014__2016WM019,KEPT,0.003936012360123604,0.005682910829108299,0.003936012360123604,A,0.3073950166588835,0,0.0,0.008070357372652362
2020PA011__2019PA023,KEPT,0.006132265499999987,0.00864064700000004,0.006132265499999987,A,0.2903001939553879,6,0.47129,0.17997019624534774
2021PA007__2023PA025,KEPT,0.005161531999999988,0.006177908000000004,0.005161531999999988,A,0.16451782707026638,3,0.22829,0.036122265181059605
2023PA025__2021PA007,KEPT,0.005184373999999986,0.006107369999999998,0.005184373999999986,A,0.15112822704372128,3,0.22076,0.037505614891954246
2018PA006__2018PA014,KEPT,0.0062824390000000025,0.007113346000000001,0.0062824390000000025,A,0.11680958581235872,1,0.10509,0.054552817655395096
2018PA014__2018PA006,KEPT,0.006894196058039422,0.00694567254327457,0.006894196058039422,A,0.007411303212817342,1,0.09005909940900592,0.055757694786604
2022PA021__2022PA020,OTHER_EXCL,0.0,0.0,0.0,B,0.0,0,0.0,0.015394157324670647
2023PA001__2023PA085,OTHER_EXCL,0.0,0.0,0.0,B,0.0,0,0.0,0.0005505108584223565
2022PA021__2021PA013,OTHER_EXCL,0.0,0.0,0.0,B,0.0,0,0.0,0.030530444370730866
2021PA013__2022PA020,KEPT,0.0,0.0,0.0,B,0.0,0,0.0,0.014927445693952117
2022PA020__2021PA013,KEPT,0.0,0.0,0.0,B,0.0,0,0.0,0.01492377688383131
