pair_id,predicted_sigma,predicted_mu,actual_error,e_overall_signed,location,abs_dz,distance_m,effective_sigma,additive_sigma
2012WM012__2014WM002,0.024844433283593363,-0.008044478553928352,0.017941559577278197,-0.017941559577278197,Mikolajki Pomorskie,14.80000000000001,6258.869706264862,0.02611435429773317,0.03288891183752171
2014WM002__2012WM012,0.025081586493595345,0.00805563594443311,0.015359882355140431,0.015359882355140431,Mikolajki Pomorskie,14.80000000000001,6258.869706264862,0.026343485940644742,0.033137222438028455
2015WM014__2016WM019,0.029927560416911546,0.010722544703712691,0.008070357372652362,0.008070357372652362,Courcelles-sous,19.09999999999999,9328.376600459482,0.03179043625732443,0.04065010512062424
2016WM019__2015WM014,0.029791019154275334,-0.010711035196449883,0.00789553829005783,-0.00789553829005783,Courcelles-sous,19.09999999999999,9328.376600459482,0.031658033691781745,0.040502054350725215
2018PA006__2018PA014,0.03607729713271295,-0.01840229801004753,0.054552817655395096,-0.054552817655395096,Clermont en Argonne,36.79999999999998,4248.672380873818,0.04049957950957834,0.05447959514276048
2018PA014__2018PA006,0.038484109350754594,0.018412558560931304,0.055757694786604,0.055757694786604,Clermont en Argonne,36.79999999999998,4248.672380873818,0.04266203212788348,0.0568966679116859
2019PA023__2019PA024,0.09780461561142942,-0.057397823344699776,0.1355354758864165,-0.1355354758864165,Herzhausen,115.8,1658.946955149561,0.11340305533630399,0.1552024389561292
2019PA024__2019PA023,0.10573994426965266,0.05740799169995815,0.14784710817784852,0.14784710817784852,Herzhausen,115.8,1658.946955149561,0.12031879871895212,0.1631479359696108
2019PA023__2020PA011,0.10303766995109521,-0.052890502651048756,0.16404124059345146,-0.16404124059345146,Herzhausen,102.6,1534.345463055827,0.11581954368599207,0.15592817260214398
2020PA011__2019PA023,0.13151523061314252,0.052901078107714807,0.17997019624534774,0.17997019624534774,Herzhausen,102.6,1534.345463055827,0.14175605788884862,0.18441630872085732
2020PA013__2023VR137,0.006526529578646077,-0.00011164276494298105,0.0018267677603805328,0.0018267677603805328,Janneby,0.2000000000000011,5.0,0.0065274843889438945,0.006638172343589058
2023VR137__2020PA013,0.006526282552470061,0.00012371225304492778,0.0018259747390347496,-0.0018259747390347496,Janneby,0.2000000000000011,5.0,0.006527454992279041,0.006649994805514988
2021PA007__2023PA025,0.025529536527389388,0.007703884290807001,0.036122265181059605,-0.036122265181059605,Pyrzyce III,12.89999999999999,6297.543171745629,0.026666590867027825,0.033233420818196385
2023PA025__2021PA007,0.025531986363910446,-0.0076916437596597385,0.037505614891954246,0.037505614891954246,Pyrzyce III,12.89999999999999,6297.543171745629,0.026665402892370134,0.033223630123570186
2021PA007__2023PA031,0.028180204890296257,-0.01973798738284644,0.051123625689039394,-0.051123625689039394,Pyrzyce III,40.60000000000001,9277.011210513869,0.03440511725869398,0.0479181922731427
2023PA031__2021PA007,0.02797151466146779,0.01974796236067732,0.053583860873799766,0.053583860873799766,Pyrzyce III,40.60000000000001,9277.011210513869,0.03424014675575202,0.04771947702214511
2021PA009__2023PA003,0.005729067324365653,-0.00021488481513188317,0.01053172364059954,0.01053172364059954,Sundern,0.4000000000000341,61.1310068623117,0.005733095838278695,0.0059439521394975365
2021PA009__2023PA004,0.046312409256187355,0.034507468757954816,0.0439623939155673,0.0439623939155673,Sundern,66.89999999999998,1349.667366427743,0.057754693758982185,0.08081987801414217
2023PA004__2021PA009,0.04766826633721948,-0.03449688972940284,0.042588006225736524,-0.042588006225736524,Sundern,66.89999999999998,1349.667366427743,0.05884130366161742,0.08216515606662232
2021PA013__2022PA020,0.009535585294383829,-0.004253992205517192,0.014927445693952117,-0.014927445693952117,Taaibos,8.700000000000045,5710.248068166566,0.010441448012180598,0.01378957749990102
2022PA020__2021PA013,0.009521257898239056,0.0042640340873832715,0.01492377688383131,0.01492377688383131,Taaibos,8.700000000000045,5710.248068166566,0.010432465608050001,0.013785291985622328
2022PA005__2023PA038,0.017032130477381856,0.004345189803351512,0.02888014093149872,-0.02888014093149872,Trzcinsko Zdroj,7.5,4594.77017923639,0.017577660339923223,0.02137732028073337
2023PA038__2022PA005,0.0177989733843714,-0.004333321753359426,0.03004372321642684,0.03004372321642684,Trzcinsko Zdroj,7.5,4594.77017923639,0.018318873626828137,0.022132295137730823
2022PA017__2023PA062,0.05488660603194023,-0.02402606637549809,0.07981836802182686,-0.07981836802182686,Doringbaai,46.40000000000001,16697.94316674961,0.059914867830825246,0.07891267240743832
2023PA062__2022PA017,0.06092847705051414,0.024036690327023845,0.08738661050518806,0.08738661050518806,Doringbaai,46.40000000000001,16697.94316674961,0.06549841064920789,0.08496516737753798
2022PA028__2023PA009,0.0118589080166993,0.0007105035639988765,0.001900455882732864,0.001900455882732864,Zawidz,1.200000000000003,4625.316854011193,0.011880173174789585,0.012569411580698176
2023PA009__2022PA028,0.011848923504171445,-0.0006984611307107582,0.002067611332162055,-0.002067611332162055,Zawidz,1.200000000000003,4625.316854011193,0.011869491823950183,0.012547384634882204
2023PA001__2024PA020,0.024420575463620392,-0.03944398274648777,0.008170616424095273,-0.008170616424095273,Ukhanda,58.0,4490.817520229474,0.04639172642702148,0.06386455821010817
2024PA020__2023PA001,0.024725153990121224,0.0394579353403139,0.0071583049674859844,0.0071583049674859844,Ukhanda,58.0,4490.817520229474,0.04656459922683325,0.06418308933043512
