variant,description,pearson_r,spearman_rho,bias,sigma0_pct,floor_pct,minutes
A_current,1 - exp(-d / distance_A)  (current),0.9314590144416632,0.797373358348968,-0.008335150660489772,2.6358551579419442,0.38029259476104343,2.7100162386894224
E_log,log(distance_m),0.9238143040809347,0.779924953095685,-0.010237518515123811,2.6017340314424335,0.23775497176574215,2.6797321836153665
C_fix5k,1 - exp(-d / 5000),0.9096072783843961,0.8151969981238275,-0.010286926629698628,2.5339391618028566,0.32442382171511003,14.289547538757324
D_fix8k,1 - exp(-d / 8000),0.9092193676118594,0.8163227016885555,-0.009439242545247141,2.5707127322185013,0.3866655591565856,9.429887143770854
F_drop,no distance feature (4-feature),0.9056950126354892,0.727954971857411,-0.006654316573517442,2.7660942918321463,0.8588782893280645,2.141519371668498
B_raw,distance_m  (raw linear),0.8747325205803335,0.7846153846153847,-0.006553139181950954,2.657892336732164,0.560924652206211,9.382413113117218
