pair_id,predicted_sigma,predicted_mu,actual_error,e_overall_signed,location,abs_dz,distance_m,effective_sigma,additive_sigma
2024PA013__2024PA094,0.0546951487353537,-0.04672819085628461,0.09996059240195514,-0.09996059240195514,Balverwald,99.20000000000005,1286.024883118519,0.07193805054269836,0.10142333959163831
2024PA094__2024PA013,0.05280147503572014,0.04673785442589609,0.11706276520250132,0.11706276520250132,Balverwald,99.20000000000005,1286.024883118519,0.07051540826148589,0.09953932946161623
2024PA028__2024PA070,0.017279039148184887,0.006938725401848476,0.010426921354650618,-0.010426921354650618,Bielice,11.7,3394.473449594208,0.018620180022941864,0.024217764550033362
2024PA070__2024PA028,0.017232232247101752,-0.006926570857680577,0.010569859940798518,0.010569859940798518,Bielice,11.7,3394.473449594208,0.01857221613229082,0.024158803104782328
2018PA006__2018PA014,0.03607729713271295,-0.01840229801004753,0.054552817655395096,-0.054552817655395096,Clermont en Argonne,36.79999999999998,4248.672380873818,0.04049957950957834,0.05447959514276048
2018PA014__2018PA006,0.038484109350754594,0.018412558560931304,0.055757694786604,0.055757694786604,Clermont en Argonne,36.79999999999998,4248.672380873818,0.04266203212788348,0.0568966679116859
2015WM014__2016WM019,0.029927560416911546,0.010722544703712691,0.008070357372652362,0.008070357372652362,Courcelles-sous,19.09999999999999,9328.376600459482,0.03179043625732443,0.04065010512062424
2016WM019__2015WM014,0.029791019154275334,-0.010711035196449883,0.00789553829005783,-0.00789553829005783,Courcelles-sous,19.09999999999999,9328.376600459482,0.031658033691781745,0.040502054350725215
2022PA017__2023PA062,0.05488660603194023,-0.02402606637549809,0.07981836802182686,-0.07981836802182686,Doringbaai,46.40000000000001,16697.94316674961,0.059914867830825246,0.07891267240743832
2023PA062__2022PA017,0.06092847705051414,0.024036690327023845,0.08738661050518806,0.08738661050518806,Doringbaai,46.40000000000001,16697.94316674961,0.06549841064920789,0.08496516737753798
2019PA023__2019PA024,0.11481761644233457,-0.0527711100765349,0.1355354758864165,-0.1355354758864165,Herzhausen,115.8,1658.946955149561,0.12636405780208557,0.16758872651886947
2019PA023__2020PA011,0.13202663439978365,-0.04675518874667643,0.16404124059345146,-0.16404124059345146,Herzhausen,102.6,1534.345463055827,0.14006098623696564,0.17878182314646007
2019PA024__2019PA023,0.1254611591827843,0.0527809641655273,0.14784710817784852,0.14784710817784852,Herzhausen,115.8,1658.946955149561,0.1361114713818443,0.1782421233483116
2020PA011__2019PA023,0.17346630558966497,0.04676504283566883,0.17997019624534774,0.17997019624534774,Herzhausen,102.6,1534.345463055827,0.17965947903283305,0.22023134842533382
2020PA013__2023VR137,0.006526529578646077,-0.00011164276494298105,0.0018267677603805328,0.0018267677603805328,Janneby,0.2000000000000011,5.0,0.0065274843889438945,0.006638172343589058
2023VR137__2020PA013,0.006526282552470061,0.00012371225304492778,0.0018259747390347496,-0.0018259747390347496,Janneby,0.2000000000000011,5.0,0.006527454992279041,0.006649994805514988
2024KA001__2024KA002,0.025945619223718294,0.044334149242956894,0.018480756228406996,0.018480756228406996,Kabbo,64.5,12174.74903232095,0.051368199754312546,0.07027976846667519
2024KA002__2024KA001,0.025942545263628443,-0.04432005197383077,0.018304545635832267,-0.018304545635832267,Kabbo,64.5,12174.74903232095,0.05135448044444098,0.07026259723745922
2012WM012__2014WM002,0.024844433283593363,-0.008044478553928352,0.017941559577278197,-0.017941559577278197,Mikolajki Pomorskie,14.80000000000001,6258.869706264862,0.02611435429773317,0.03288891183752171
2014WM002__2012WM012,0.025081586493595345,0.00805563594443311,0.015359882355140431,0.015359882355140431,Mikolajki Pomorskie,14.80000000000001,6258.869706264862,0.026343485940644742,0.033137222438028455
2023PA032__2024PA024,0.020905476471426463,-0.0017640553042146004,0.04281852552381482,-0.04281852552381482,Pelczyce,2.800000000000011,8273.984892420338,0.020979772105856945,0.022669531775641065
2023PA032__2024PA049,0.022614579490793114,0.0259377666532483,0.0050670367982090445,-0.0050670367982090445,Pelczyce,41.0,6928.792679825252,0.034412017443093336,0.048552346144041414
2024PA024__2023PA032,0.020658584156447165,0.001777730151534094,0.04439925112413459,0.04439925112413459,Pelczyce,2.800000000000011,8273.984892420338,0.02073493245324622,0.022436314307981257
2024PA049__2023PA032,0.02262770107563922,-0.025924091805928806,0.004992597121221201,0.004992597121221201,Pelczyce,41.0,6928.792679825252,0.03441033844545428,0.04855179288156802
2021PA007__2023PA025,0.02591925376741131,0.006811764758531892,0.036122265181059605,-0.036122265181059605,Pyrzyce III,12.89999999999999,6297.543171745629,0.026799400272861377,0.032731018525943206
2021PA007__2023PA031,0.027536145464644127,-0.02141492215692528,0.051123625689039394,-0.051123625689039394,Pyrzyce III,40.60000000000001,9277.011210513869,0.03488320796654474,0.04895106762156941
2023PA025__2021PA007,0.025924162589764273,-0.006800357155838099,0.037505614891954246,0.037505614891954246,Pyrzyce III,12.89999999999999,6297.543171745629,0.026801251154143755,0.03272451974560237
2023PA031__2021PA007,0.027360849667392433,0.021426329759619073,0.053583860873799766,0.053583860873799766,Pyrzyce III,40.60000000000001,9277.011210513869,0.03475203161672115,0.04878717942701151
2021PA009__2023PA003,0.005793660605175363,-0.0001914192526564477,0.01053172364059954,0.01053172364059954,Sundern,0.4000000000000341,61.1310068623117,0.005796821934323022,0.005985079857831811
2021PA009__2023PA004,0.05563009951062344,0.03201487000678814,0.0439623939155673,0.0439623939155673,Sundern,66.89999999999998,1349.667366427743,0.06418457659838078,0.08764496951741158
2023PA003__2023PA004,0.0497865461326521,0.03220628925944459,0.03513092398041238,0.03513092398041238,Sundern,67.30000000000001,1400.396015418496,0.05929540659850231,0.08199283539209669
2023PA004__2021PA009,0.05767580984500805,-0.03201487000678814,0.042588006225736524,-0.042588006225736524,Sundern,66.89999999999998,1349.667366427743,0.06596552844349138,0.08969067985179618
2023PA004__2023PA003,0.04916918951978263,-0.03220628925944459,0.03430532557425242,-0.03430532557425242,Sundern,67.30000000000001,1400.396015418496,0.0587780083525745,0.08137547877922721
2021PA013__2022PA020,0.009535585294383829,-0.004253992205517192,0.014927445693952117,-0.014927445693952117,Taaibos,8.700000000000045,5710.248068166566,0.010441448012180598,0.01378957749990102
2022PA020__2021PA013,0.009521257898239056,0.0042640340873832715,0.01492377688383131,0.01492377688383131,Taaibos,8.700000000000045,5710.248068166566,0.010432465608050001,0.013785291985622328
2022PA005__2023PA038,0.017032130477381856,0.004345189803351512,0.02888014093149872,-0.02888014093149872,Trzcinsko Zdroj,7.5,4594.77017923639,0.017577660339923223,0.02137732028073337
2023PA038__2022PA005,0.0177989733843714,-0.004333321753359426,0.03004372321642684,0.03004372321642684,Trzcinsko Zdroj,7.5,4594.77017923639,0.018318873626828137,0.022132295137730823
