option,description,n_pairs,pearson_r,spearman_rho,bias,elapsed_min
A,|(WTG+MM)/2|  (current model),41,0.935708948906089,0.8445344129554657,-0.007532601995062475,9.345802048842112
S,Proximity-gated A: |(WTG+MM)/2| * (1-exp(-d/700)),41,0.9354918302141112,0.7951219512195123,-0.008632083024459098,7.467423141002655
R,Proximity-gated A: |(WTG+MM)/2| * (1-exp(-d/600)),41,0.935275119252298,0.7935540069686412,-0.008261925813403535,7.137857476870219
Q,Proximity-gated A: |(WTG+MM)/2| * (1-exp(-d/500)),41,0.9340292830610111,0.7883275261324043,-0.008238506693065759,6.957881649335225
P,Proximity-gated A: |(WTG+MM)/2| * (1-exp(-d/300)),41,0.9337425572775304,0.7957489878542512,-0.008894389929166987,10.63709150950114
