pair_id,abs_e,dist_sat,turning_sat,wm_abs_log_speedup,roughness_sat,dz_sat,meas_height,distance_m,RIX
2012WM012__2014WM002,0.017941559577278197,0.5761912907599529,0.05436165928965664,0.012067824462499979,0.3617408685695721,0.30926566936264555,119.5,6258.869706264862,0.03333333333333333
2014WM002__2012WM012,0.015359882355140431,0.5761912907599529,0.05460701665979961,0.012495841426769542,0.36576395703304965,0.30926566936264555,119.5,6258.869706264862,0.03333333333333333
2015WM014__2016WM019,0.008070357372652362,0.7307989588474348,0.08665458575318652,0.006447258302808992,0.3253769799274734,0.3796677144038215,97.5,9328.376600459482,0.2875
2016WM019__2015WM014,0.00789553829005783,0.7307989588474348,0.08657750307867662,0.006505456085430691,0.32288689150839966,0.3796677144038215,97.5,9328.376600459482,0.2875
2018PA006__2018PA014,0.054552817655395096,0.5226856345291213,0.16336184349880523,0.01066756995316743,0.4664037074364147,0.6014809589154857,99.0,4248.672380873818,0.04583333333333334
2018PA014__2018PA006,0.055757694786604,0.5226856345291213,0.16246468059496866,0.011089241864876915,0.49806214298630325,0.6014809589154857,99.0,4248.672380873818,0.04583333333333334
2019PA023__2019PA024,0.1355354758864165,0.47905297255773227,0.6640145682318805,0.10296581261648349,0.3409971510662342,0.9447009749053086,120.0,1658.946955149561,2.587499999999999
2019PA023__2020PA011,0.16404124059345146,0.4219110308588201,0.6292335830870162,0.14728160050793054,0.40343920162615143,0.9230808185581655,120.0,1534.345463055827,2.8
2019PA024__2019PA023,0.14784710817784852,0.47905297255773227,0.6698774761378956,0.12108710159052771,0.3478158504183757,0.9447009749053086,120.0,1658.946955149561,2.587499999999999
2020PA011__2019PA023,0.17997019624534774,0.4219110308588201,0.6713948678701271,0.1772898097700901,0.4427395621907442,0.9230808185581655,120.0,1534.345463055827,2.8
2020PA013__2023VR137,0.0018267677603805328,0.0006106825286854578,0.0021514065297345564,0.00011562628585139162,0.0015426681842610757,0.00498752080731768,200.0,5.0,0.0
2021PA007__2023PA025,0.036122265181059605,0.549464926584003,0.13728503786319946,0.007337892701371329,0.4031870020663998,0.2756640681930841,120.0,6297.543171745629,0.0
2021PA007__2023PA031,0.051123625689039394,0.6933043200348458,0.1513287735486114,0.011461137200031519,0.2674424665940113,0.6375975701675097,120.0,9277.011210513869,0.0
2021PA009__2023PA004,0.0439623939155673,0.4123505240527958,0.10050568858457842,0.08236951656701091,0.4927798286240356,0.8122229642431904,138.6,1349.667366427743,6.0375
2021PA013__2022PA020,0.014927445693952117,0.5218524156900017,0.06106042452207838,0.005571545355831087,0.0,0.1954723950801731,120.0,5710.248068166566,0.0125
2022PA005__2023PA038,0.02888014093149872,0.42960163278229435,0.06533156485105918,0.008975468548431823,0.3472948952613957,0.17097088181959963,161.0,4594.77017923639,0.0
2022PA017__2023PA062,0.07981836802182686,0.8946737283724969,0.1776786782262545,0.03221950437129667,0.41289169808179127,0.6865138191173947,164.0,16697.94316674961,0.0
2022PA020__2021PA013,0.01492377688383131,0.5218524156900017,0.060162000943656535,0.005562177257137397,0.0,0.1954723950801731,120.0,5710.248068166566,0.0125
2022PA028__2023PA009,0.001900455882732864,0.4224001484932578,0.045522941704761566,0.002799702824361606,0.0898692082146072,0.029554466451491845,160.0,4625.316854011193,0.0
2023PA001__2024PA020,0.008170616424095273,0.5468355304962182,0.39529425530076,0.03570009993085442,0.0,0.7654297119062023,164.0,4490.817520229474,0.2166666666666667
2023PA003__2023PA004,0.03513092398041238,0.3950948298179199,0.03145080021420166,0.07793926428253567,0.49632851298861824,0.8140913769670592,138.6,1400.396015418496,6.025
2023PA004__2021PA009,0.042588006225736524,0.4123505240527958,0.09876323681721755,0.08022891460199769,0.5108431275963305,0.8122229642431904,138.6,1349.667366427743,6.0375
2023PA004__2023PA003,0.03430532557425242,0.3950948298179199,0.03234678513644529,0.07797704637412141,0.49117486622386575,0.8140913769670592,138.6,1400.396015418496,6.025
2023PA009__2022PA028,0.002067611332162055,0.4224001484932578,0.04568442261867789,0.002762921115592439,0.08926983088223761,0.029554466451491845,160.0,4625.316854011193,0.0
2023PA025__2021PA007,0.037505614891954246,0.549464926584003,0.1355129848145573,0.007511761279559412,0.40454868193541027,0.2756640681930841,120.0,6297.543171745629,0.0
2023PA031__2021PA007,0.053583860873799766,0.6933043200348458,0.15201559243666174,0.011098372339816016,0.263962968747959,0.6375975701675097,120.0,9277.011210513869,0.0
2023PA032__2024PA024,0.04281852552381482,0.6397695587344586,0.06910303982444865,0.008671230723351894,0.3678298334231799,0.06760618009405206,160.0,8273.984892420338,0.004166666666666667
2023PA032__2024PA049,0.0050670367982090445,0.5955633103487543,0.09879593828874156,0.0177861511523483,0.2524777147240994,0.6412035345940483,160.0,6928.792679825252,0.0
2023PA038__2022PA005,0.03004372321642684,0.42960163278229435,0.061017545340236734,0.009025515185884576,0.37851364568002543,0.17097088181959963,161.0,4594.77017923639,0.0
2023PA062__2022PA017,0.08738661050518806,0.8946737283724969,0.1838529886960325,0.03303456556021468,0.45997095292993195,0.6865138191173947,164.0,16697.94316674961,0.0
2023VR137__2020PA013,0.0018259747390347496,0.0006106825286854578,0.0021382422906639498,0.00011681167576942866,0.001527822626135933,0.00498752080731768,200.0,5.0,0.0
2024KA001__2024KA002,0.018480756228406996,0.8339859821783924,0.1580915404351957,0.01317435377614796,0.0,0.8006114808314648,164.0,12174.74903232095,0.1833333333333333
2024KA002__2024KA001,0.018304545635832267,0.8339859821783924,0.15649887144980335,0.013869859143299596,0.0,0.8006114808314648,164.0,12174.74903232095,0.1833333333333333
2024PA013__2024PA094,0.09996059240195514,0.47840566505385373,0.45533782414760593,0.060175252304908555,0.3467528896424735,0.9162567744078042,160.0,1286.024883118519,3.125
2024PA020__2023PA001,0.0071583049674859844,0.5468355304962182,0.4192143661772618,0.028752946892249776,0.0,0.7654297119062023,164.0,4490.817520229474,0.2166666666666667
2024PA024__2023PA032,0.04439925112413459,0.6397695587344586,0.07099532564727618,0.00865853130502979,0.3583394055547967,0.06760618009405206,160.0,8273.984892420338,0.004166666666666667
2024PA028__2024PA070,0.010426921354650618,0.344328959651937,0.02909632028923259,0.01230480771161856,0.3698911261545742,0.2536047549641183,160.0,3394.473449594208,3.145833333333334
