config,n,pearson,spearman,bias,sigma_floor,floor_flat,floor_rough,max_sigma
baseline-mult,41,0.9293526746796615,0.7947735191637634,-0.008250525172492992,,0.3720535490017613,1.8328452891065012,29.89880848600271
add-A (magnitude),41,0.8698208853685908,0.7027874564459933,-0.008771823107533761,0.0024369128810997373,0.24369128810997373,1.85754171493976,8.697605676851436
add-B (mismatch),41,0.8599228255589163,0.6858885017421604,-0.008167921407568684,0.003056009527553293,0.3056009527553293,0.3056009527553293,9.006476786009568
add-Q (gated mag),41,0.8778189730067275,0.7148083623693381,-0.008532952382221853,0.0027918982104320022,0.2791898210432002,0.2791898210432002,8.746069243340832
add-E (both),41,0.8747491363857977,0.7625435540069688,-0.008145437490325159,0.0020625956243968463,0.20625956243968463,1.2058016393851967,8.786563886306281
