config,n,pearson,spearman,bias,floor,floor_flat,floor_rough,max_sigma
baseline-mult (z-scored),41,0.9293526746796615,0.7947735191637634,-0.008250525172492992,,0.3720535490017613,1.8328452891065012,29.89880848600271
exp-A (magnitude),41,0.9314422841715818,0.7933797909407667,-0.007606331393719229,0.404378959706452,0.404378959706452,1.8455122617887787,28.623140260050718
exp-B (mismatch),41,0.8660630301498251,0.665679442508711,-0.008103452881688329,0.5636985304709894,0.5636985304709894,0.5636985304709894,21.95732694377005
exp-Q (gated mag),41,0.9346980129464177,0.7956445993031361,-0.00784041561376323,0.500071421620748,0.500071421620748,0.500071421620748,24.62519212048988
exp-E (both),41,0.9052175571318087,0.7966898954703834,-0.006215973069144053,0.38453194778225497,0.38453194778225497,1.1404525203766933,27.46350853252133
