config,n,pearson,spearman,bias,sigma_floor,floor_flat,floor_rough,max_sigma
baseline-mult,41,0.9293526746796615,0.7947735191637634,-0.008250525172492992,,0.3720535490017613,1.8328452891065012,29.89880848600271
add-A (magnitude),41,0.89513840945878,0.7158536585365856,-0.004391091856201349,0.0023754433366111423,0.23754433366111422,3.438513930581053,12.764726680600438
add-B (mismatch),41,0.8808447244213968,0.688850174216028,-0.0040595208418715365,0.003130175571469193,0.3130175571469193,0.3130175571469193,12.78507007857417
add-Q (gated mag),41,0.89661162335233,0.7400696864111499,-0.004347644867673567,0.0029108464554192877,0.29108464554192875,0.29108464554192875,12.285451058192258
add-E (both),41,0.889462252305056,0.7135888501742162,-0.004510082613690914,0.0022275632308913387,0.22275632308913387,2.0653198906648935,12.274189299754392
